variant_i,variant_j,different_cells,total_cells,pct_different,mean_abs_diff,max_abs_diff,total_diff
V1,V0,6,1728,0.3472222222222222,0.003472222222222222,1,4
V2,V0,6,1728,0.3472222222222222,0.003472222222222222,1,4
V3,V0,12,1728,0.6944444444444444,0.006944444444444444,1,8
V4,V0,6,1728,0.3472222222222222,0.003472222222222222,1,4
V5,V0,25,1728,1.4467592592592593,0.015046296296296295,2,-20
