duplicate_type,duplicate_rows,pct,total_qualified
exact_message,0,0.0,
same_vessel_timestamp,10243,0.5021457502183988,
same_vessel_second,10243,0.5021457502183988,
cross_source_threshold_groups,20,0.3033520400424693,6593.0
