phase_generator,mean_corr,median_corr,n_pairs
clock_24h,0.4827682311049421,0.5775369667266377,136
solar_semidiurnal_12h,0.03230082110383616,0.06519589530421538,136
M2_12.4206h,0.059631068924424796,0.13385486629559842,136
N2_12.6583h,0.12854406084599,0.22107435209861764,136
K1_23.9345h,0.48330982501652653,0.5742785494927337,136
clock_folded_12h,0.4545841975204289,0.5044057853232607,136
random_day_phase_500x,0.4827682311049422,,0
