region,hour_of_day,action,rolling_improve_count,rolling_worsen_count,rolling_tie_count,rolling_total_delta_sse,rolling_median_delta_sse,nonoverlap_block_1_delta,nonoverlap_block_2_delta,final_analog_delta,signal_strength
near,9,plus_one,1,7,0,118.0,8.0,43.0,-3.0,-4.0,harmful
near,9,minus_one,3,5,0,-6.0,6.0,-29.0,17.0,16.0,weak
near,10,plus_one,0,8,0,248.0,25.0,49.0,25.0,16.0,harmful
near,10,minus_one,8,0,0,-136.0,-11.0,-35.0,-11.0,-4.0,strong
near,11,plus_one,0,8,0,410.0,49.0,61.0,37.0,22.0,harmful
near,11,minus_one,8,0,0,-298.0,-35.0,-47.0,-23.0,-10.0,strong
near,12,plus_one,1,7,0,202.0,28.0,47.0,-1.0,-6.0,harmful
near,12,minus_one,6,2,0,-90.0,-14.0,-33.0,15.0,18.0,weak
near,13,plus_one,0,8,0,324.0,44.0,51.0,19.0,10.0,harmful
near,13,minus_one,8,0,0,-212.0,-30.0,-37.0,-5.0,2.0,weak
near,14,plus_one,1,7,0,142.0,17.0,39.0,-1.0,2.0,harmful
near,14,minus_one,4,4,0,-30.0,-3.0,-25.0,15.0,10.0,weak
near,15,plus_one,1,7,0,236.0,32.0,29.0,-1.0,-8.0,harmful
near,15,minus_one,7,1,0,-124.0,-18.0,-15.0,15.0,20.0,weak
near,16,plus_one,0,8,0,284.0,35.0,37.0,3.0,-2.0,harmful
near,16,minus_one,7,1,0,-172.0,-21.0,-23.0,11.0,14.0,weak
near,17,plus_one,1,7,0,116.0,11.0,-1.0,1.0,-6.0,harmful
near,17,minus_one,4,4,0,-4.0,3.0,15.0,13.0,18.0,weak
near,18,plus_one,2,6,0,154.0,21.0,57.0,-21.0,-26.0,harmful
near,18,minus_one,4,4,0,-42.0,-7.0,-43.0,35.0,38.0,weak
near,19,plus_one,1,7,0,310.0,38.0,73.0,-3.0,-4.0,harmful
near,19,minus_one,7,1,0,-198.0,-24.0,-59.0,17.0,16.0,weak
near,20,plus_one,1,7,0,230.0,33.0,47.0,-11.0,-22.0,harmful
near,20,minus_one,6,2,0,-118.0,-19.0,-33.0,25.0,34.0,weak
near,21,plus_one,0,8,0,198.0,27.0,29.0,7.0,2.0,harmful
near,21,minus_one,7,1,0,-86.0,-13.0,-15.0,7.0,10.0,weak
near,22,plus_one,3,5,0,62.0,11.0,19.0,-15.0,-18.0,harmful
