evaluation_id,evaluation_type,method,task_key,pair,direction_role,n_scored_rows,actual_total,predicted_total,sse_float,sse_rounded,mse_rounded,mae_rounded,mean_bias_rounded,zero_true_rate,zero_prediction_rate
fold_01,rolling_7d,circular3_all,core->near,core_near,forward,168,187.0,168.0,345.36958333333337,375.0,2.232142857142857,1.0892857142857142,-0.1130952380952381,0.5238095238095238,0.125
fold_01,rolling_7d,circular3_all,near->core,core_near,reverse,168,180.0,182.0,279.2489351851852,308.0,1.8333333333333333,1.0,0.011904761904761904,0.4583333333333333,0.041666666666666664
fold_01,rolling_7d,circular3_all,near->outer,near_outer,forward,168,59.0,28.0,114.42587962962965,125.0,0.7440476190476191,0.39880952380952384,-0.18452380952380953,0.7916666666666666,0.8333333333333334
fold_01,rolling_7d,circular3_all,outer->near,near_outer,reverse,168,65.0,70.0,87.0675,103.0,0.6130952380952381,0.49404761904761907,0.02976190476190476,0.7261904761904762,0.5833333333333334
fold_01,rolling_7d,circular3_all,core->outer,core_outer,forward,168,35.0,14.0,42.916296296296295,45.0,0.26785714285714285,0.20833333333333334,-0.125,0.8452380952380952,0.9166666666666666
fold_01,rolling_7d,circular3_all,outer->core,core_outer,reverse,168,33.0,0.0,43.81754629629629,51.0,0.30357142857142855,0.19642857142857142,-0.19642857142857142,0.8571428571428571,1.0
fold_01,rolling_7d,hybrid_core_near_default,core->near,core_near,forward,168,187.0,175.0,340.055956471105,330.0,1.9642857142857142,1.0,-0.07142857142857142,0.5238095238095238,0.16666666666666666
fold_01,rolling_7d,hybrid_core_near_default,near->core,core_near,reverse,168,180.0,175.0,291.43885964179486,309.0,1.8392857142857142,0.9821428571428571,-0.02976190476190476,0.4583333333333333,0.08333333333333333
fold_01,rolling_7d,hybrid_core_near_default,near->outer,near_outer,forward,168,59.0,28.0,114.42587962962965,125.0,0.7440476190476191,0.39880952380952384,-0.18452380952380953,0.7916666666666666,0.8333333333333334
fold_01,rolling_7d,hybrid_core_near_default,outer->near,near_outer,reverse,168,65.0,70.0,87.0675,103.0,0.6130952380952381,0.49404761904761907,0.02976190476190476,0.7261904761904762,0.5833333333333334
fold_01,rolling_7d,hybrid_core_near_default,core->outer,core_outer,forward,168,35.0,14.0,42.916296296296295,45.0,0.26785714285714285,0.20833333333333334,-0.125,0.8452380952380952,0.9166666666666666
fold_01,rolling_7d,hybrid_core_near_default,outer->core,core_outer,reverse,168,33.0,0.0,43.81754629629629,51.0,0.30357142857142855,0.19642857142857142,-0.19642857142857142,0.8571428571428571,1.0
fold_01,rolling_7d,hybrid_core_near_globalcv,core->near,core_near,forward,168,187.0,175.0,346.7742381863179,324.0,1.9285714285714286,1.0119047619047619,-0.07142857142857142,0.5238095238095238,0.125
fold_01,rolling_7d,hybrid_core_near_globalcv,near->core,core_near,reverse,168,180.0,189.0,290.1112358128688,289.0,1.7202380952380953,0.9940476190476191,0.05357142857142857,0.4583333333333333,0.041666666666666664
fold_01,rolling_7d,hybrid_core_near_globalcv,near->outer,near_outer,forward,168,59.0,28.0,114.42587962962965,125.0,0.7440476190476191,0.39880952380952384,-0.18452380952380953,0.7916666666666666,0.8333333333333334
fold_01,rolling_7d,hybrid_core_near_globalcv,outer->near,near_outer,reverse,168,65.0,70.0,87.0675,103.0,0.6130952380952381,0.49404761904761907,0.02976190476190476,0.7261904761904762,0.5833333333333334
fold_01,rolling_7d,hybrid_core_near_globalcv,core->outer,core_outer,forward,168,35.0,14.0,42.916296296296295,45.0,0.26785714285714285,0.20833333333333334,-0.125,0.8452380952380952,0.9166666666666666
fold_01,rolling_7d,hybrid_core_near_globalcv,outer->core,core_outer,reverse,168,33.0,0.0,43.81754629629629,51.0,0.30357142857142855,0.19642857142857142,-0.19642857142857142,0.8571428571428571,1.0
fold_01,rolling_7d,hybrid_core_near_bypaircv,core->near,core_near,forward,168,187.0,168.0,348.36021568371245,329.0,1.9583333333333333,0.9940476190476191,-0.1130952380952381,0.5238095238095238,0.16666666666666666
fold_01,rolling_7d,hybrid_core_near_bypaircv,near->core,core_near,reverse,168,180.0,182.0,289.16965992041173,290.0,1.7261904761904763,0.9761904761904762,0.011904761904761904,0.4583333333333333,0.08333333333333333
fold_01,rolling_7d,hybrid_core_near_bypaircv,near->outer,near_outer,forward,168,59.0,28.0,114.42587962962965,125.0,0.7440476190476191,0.39880952380952384,-0.18452380952380953,0.7916666666666666,0.8333333333333334
