evaluation_id,evaluation_type,method,pair,n_scored_rows,actual_total,predicted_total,sse_float,sse_rounded,mse_rounded,mae_rounded,mean_bias_rounded,zero_true_rate,zero_prediction_rate
fold_01,rolling_7d,circular3_all,core_near,336,367.0,350.0,624.6185185185185,683.0,2.0327380952380953,1.0446428571428572,-0.050595238095238096,0.49107142857142855,0.08333333333333333
fold_01,rolling_7d,circular3_all,near_outer,336,124.0,98.0,201.49337962962963,228.0,0.6785714285714286,0.44642857142857145,-0.07738095238095238,0.7589285714285714,0.7083333333333334
fold_01,rolling_7d,circular3_all,core_outer,336,68.0,14.0,86.73384259259258,96.0,0.2857142857142857,0.20238095238095238,-0.16071428571428573,0.8511904761904762,0.9583333333333334
fold_01,rolling_7d,hybrid_core_near_default,core_near,336,367.0,350.0,631.4948161128998,639.0,1.9017857142857142,0.9910714285714286,-0.050595238095238096,0.49107142857142855,0.125
fold_01,rolling_7d,hybrid_core_near_default,near_outer,336,124.0,98.0,201.49337962962963,228.0,0.6785714285714286,0.44642857142857145,-0.07738095238095238,0.7589285714285714,0.7083333333333334
fold_01,rolling_7d,hybrid_core_near_default,core_outer,336,68.0,14.0,86.73384259259258,96.0,0.2857142857142857,0.20238095238095238,-0.16071428571428573,0.8511904761904762,0.9583333333333334
fold_01,rolling_7d,hybrid_core_near_globalcv,core_near,336,367.0,364.0,636.8854739991868,613.0,1.8244047619047619,1.0029761904761905,-0.008928571428571428,0.49107142857142855,0.08333333333333333
fold_01,rolling_7d,hybrid_core_near_globalcv,near_outer,336,124.0,98.0,201.49337962962963,228.0,0.6785714285714286,0.44642857142857145,-0.07738095238095238,0.7589285714285714,0.7083333333333334
fold_01,rolling_7d,hybrid_core_near_globalcv,core_outer,336,68.0,14.0,86.73384259259258,96.0,0.2857142857142857,0.20238095238095238,-0.16071428571428573,0.8511904761904762,0.9583333333333334
fold_01,rolling_7d,hybrid_core_near_bypaircv,core_near,336,367.0,350.0,637.5298756041241,619.0,1.8422619047619047,0.9851190476190477,-0.050595238095238096,0.49107142857142855,0.125
fold_01,rolling_7d,hybrid_core_near_bypaircv,near_outer,336,124.0,98.0,201.49337962962963,228.0,0.6785714285714286,0.44642857142857145,-0.07738095238095238,0.7589285714285714,0.7083333333333334
fold_01,rolling_7d,hybrid_core_near_bypaircv,core_outer,336,68.0,14.0,86.73384259259258,96.0,0.2857142857142857,0.20238095238095238,-0.16071428571428573,0.8511904761904762,0.9583333333333334
fold_02,rolling_7d,circular3_all,core_near,336,376.0,364.0,631.7359814049587,668.0,1.9880952380952381,1.0773809523809523,-0.03571428571428571,0.5,0.08333333333333333
fold_02,rolling_7d,circular3_all,near_outer,336,120.0,98.0,186.7213326446281,204.0,0.6071428571428571,0.39285714285714285,-0.06547619047619048,0.7559523809523809,0.7083333333333334
fold_02,rolling_7d,circular3_all,core_outer,336,65.0,14.0,84.88166322314049,95.0,0.28273809523809523,0.19940476190476192,-0.15178571428571427,0.8571428571428571,0.9583333333333334
fold_02,rolling_7d,hybrid_core_near_default,core_near,336,376.0,364.0,634.9718570825744,656.0,1.9523809523809523,1.0773809523809523,-0.03571428571428571,0.5,0.0625
fold_02,rolling_7d,hybrid_core_near_default,near_outer,336,120.0,98.0,186.7213326446281,204.0,0.6071428571428571,0.39285714285714285,-0.06547619047619048,0.7559523809523809,0.7083333333333334
