group,source_region,target_region,task_key,hour,n_days,n_days_with_positive_daily_flow,mean_hourly_flow,median_hourly_flow,std_hourly_flow,zero_rate,mean_daily_profile_share,median_daily_profile_share,mean_pair_rate_among_linkable,median_pair_rate_among_linkable
normal_all,core,near,core->near,0,17,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
normal_all,core,near,core->near,1,17,1,0.11764705882352941,0.0,0.485071250072666,0.9411764705882353,0.0034602076124567475,0.0,0.0065359477124183,0.0
normal_all,core,near,core->near,2,17,10,1.2941176470588236,1.0,1.6110829386763792,0.4117647058823529,0.046288040599578605,0.045454545454545456,0.0894673953497483,0.07142857142857142
normal_all,core,near,core->near,3,17,9,0.8823529411764706,1.0,0.9926198253344827,0.47058823529411764,0.0336071184038312,0.029411764705882353,0.06618375857130182,0.058823529411764705
normal_all,core,near,core->near,4,17,4,0.5882352941176471,0.0,1.3256518929102281,0.7647058823529411,0.02381607723303225,0.0,0.04351285968933028,0.0
normal_all,core,near,core->near,5,17,5,0.4117647058823529,0.0,0.7122871199007256,0.7058823529411765,0.01699476707216645,0.0,0.028054298642533934,0.0
normal_all,core,near,core->near,6,17,14,2.411764705882353,2.0,2.209604702469759,0.17647058823529413,0.09658904442162627,0.08333333333333333,0.16626506423219228,0.14285714285714285
normal_all,core,near,core->near,7,17,12,1.411764705882353,1.0,1.325651892910228,0.29411764705882354,0.057329471278433214,0.058823529411764705,0.11759955730543967,0.125
normal_all,core,near,core->near,8,17,8,0.6470588235294118,0.0,0.7859052479933758,0.5294117647058824,0.0268676020040714,0.0,0.06014132925897632,0.0
normal_all,core,near,core->near,9,17,10,0.9411764705882353,1.0,0.8993461677306268,0.4117647058823529,0.03885131482956137,0.041666666666666664,0.07616946682690628,0.07692307692307693
normal_all,core,near,core->near,10,17,14,2.0588235294117645,2.0,1.675954512930397,0.17647058823529413,0.0838255913217135,0.07407407407407407,0.17330137183078362,0.15384615384615385
normal_all,core,near,core->near,11,17,11,1.3529411764705883,1.0,1.4975470138942313,0.35294117647058826,0.05396149797442823,0.045454545454545456,0.13133415507982982,0.08333333333333333
normal_all,core,near,core->near,12,17,8,0.5882352941176471,0.0,0.7952062255644572,0.5294117647058824,0.02172926811021907,0.0,0.05013646484234719,0.0
normal_all,core,near,core->near,13,17,5,0.6470588235294118,0.0,1.2217393579743305,0.7058823529411765,0.027022336083754768,0.0,0.0496929541047188,0.0
normal_all,core,near,core->near,14,17,15,1.8235294117647058,1.0,1.7760663739584404,0.11764705882352941,0.07127916764355545,0.05,0.1431532519767814,0.09090909090909091
