source_region,target_region,task_key,date_i,date_j,daily_total_i,daily_total_j,period_i,period_j,period_pair,day_type_i,day_type_j,same_day_type,pearson_profile,cosine_similarity,l1_distance,rmse_profile
core,near,core->near,2018-01-02,2018-01-21,22.0,22.0,pre_outage,post_recovery,post_recovery__pre_outage,weekday,weekend,False,-0.15921740073207127,0.2842867663420887,1.3636363636363638,0.08088695645478265
core,near,core->near,2018-01-02,2018-01-22,22.0,18.0,pre_outage,post_recovery,post_recovery__pre_outage,weekday,weekday,True,0.19134897208561272,0.4552893599173151,1.2626262626262625,0.07623307564032053
core,near,core->near,2018-01-02,2018-01-23,22.0,29.0,pre_outage,post_recovery,post_recovery__pre_outage,weekday,weekday,True,0.31164388130246456,0.5835865144805564,1.109717868338558,0.060942365837666344
core,near,core->near,2018-01-02,2018-01-24,22.0,34.0,pre_outage,post_recovery,post_recovery__pre_outage,weekday,weekday,True,0.41036176822567594,0.6218821436015861,1.0160427807486632,0.06052080613677348
core,near,core->near,2018-01-03,2018-01-04,34.0,26.0,pre_outage,pre_outage,pre_outage__pre_outage,weekday,weekday,True,0.5170326445916237,0.7469029461643668,0.7375565610859729,0.04322885516535141
core,near,core->near,2018-01-03,2018-01-05,34.0,24.0,pre_outage,pre_outage,pre_outage__pre_outage,weekday,weekday,True,0.31242593016541853,0.563621480190678,0.9852941176470588,0.06499335773788623
core,near,core->near,2018-01-03,2018-01-06,34.0,16.0,pre_outage,pre_outage,pre_outage__pre_outage,weekday,weekend,False,0.6299736825702094,0.7559289460184544,0.8602941176470589,0.050431564567530035
core,near,core->near,2018-01-03,2018-01-07,34.0,30.0,pre_outage,pre_outage,pre_outage__pre_outage,weekday,weekend,False,0.37465758761215484,0.6334909551631785,1.011764705882353,0.055482458639749564
core,near,core->near,2018-01-03,2018-01-08,34.0,19.0,pre_outage,pre_outage,pre_outage__pre_outage,weekday,weekday,True,0.08522976582463405,0.4101734961193464,1.238390092879257,0.07696991273050392
core,near,core->near,2018-01-03,2018-01-09,34.0,21.0,pre_outage,pre_outage,pre_outage__pre_outage,weekday,weekday,True,-0.031411196505745045,0.32322996757772704,1.3529411764705883,0.08425701707708896
core,near,core->near,2018-01-03,2018-01-10,34.0,32.0,pre_outage,pre_outage,pre_outage__pre_outage,weekday,weekday,True,0.3168939435206173,0.6317328381028974,0.9080882352941176,0.05279662233257872
core,near,core->near,2018-01-03,2018-01-11,34.0,27.0,pre_outage,pre_outage,pre_outage__pre_outage,weekday,weekday,True,0.2199836322253644,0.5289591311987017,1.0849673202614378,0.06442996759200212
core,near,core->near,2018-01-03,2018-01-19,34.0,20.0,pre_outage,post_recovery,post_recovery__pre_outage,weekday,weekday,True,0.48480260886632587,0.6686478498357317,0.9176470588235295,0.05735294117647059
core,near,core->near,2018-01-03,2018-01-20,34.0,30.0,pre_outage,post_recovery,post_recovery__pre_outage,weekday,weekend,False,0.21180449494251608,0.5744603548097296,1.0549019607843138,0.05679227095513027
core,near,core->near,2018-01-03,2018-01-21,34.0,22.0,pre_outage,post_recovery,post_recovery__pre_outage,weekday,weekend,False,-0.3835430448753361,0.2045792720962428,1.4010695187165774,0.08061028030906361
core,near,core->near,2018-01-03,2018-01-22,34.0,18.0,pre_outage,post_recovery,post_recovery__pre_outage,weekday,weekday,True,0.28329331835507304,0.5413127381832803,1.1372549019607843,0.06723877717651836
core,near,core->near,2018-01-03,2018-01-23,34.0,29.0,pre_outage,post_recovery,post_recovery__pre_outage,weekday,weekday,True,0.520101851806949,0.7322418368317117,0.7809330628803246,0.0458768496934873
core,near,core->near,2018-01-03,2018-01-24,34.0,34.0,pre_outage,post_recovery,post_recovery__pre_outage,weekday,weekday,True,0.039202050909619666,0.4226583843840198,1.0588235294117647,0.07103616052053646
core,near,core->near,2018-01-04,2018-01-05,26.0,24.0,pre_outage,pre_outage,pre_outage__pre_outage,weekday,weekday,True,0.4828973876881517,0.6840061201989612,0.8269230769230769,0.05440856571158647
core,near,core->near,2018-01-04,2018-01-06,26.0,16.0,pre_outage,pre_outage,pre_outage__pre_outage,weekday,weekend,False,0.43410037527230616,0.6471502289294341,0.9038461538461539,0.058783746445372514
core,near,core->near,2018-01-04,2018-01-07,26.0,30.0,pre_outage,pre_outage,pre_outage__pre_outage,weekday,weekend,False,0.06812764727181064,0.5006133717292952,1.158974358974359,0.061787246399753235
core,near,core->near,2018-01-04,2018-01-08,26.0,19.0,pre_outage,pre_outage,pre_outage__pre_outage,weekday,weekday,True,0.21918826984566406,0.5242965552319168,1.2024291497975708,0.06735650620007427
core,near,core->near,2018-01-04,2018-01-09,26.0,21.0,pre_outage,pre_outage,pre_outage__pre_outage,weekday,weekday,True,-0.02203124614524942,0.37272078116443347,1.3663003663003663,0.0785982490206577
core,near,core->near,2018-01-04,2018-01-10,26.0,32.0,pre_outage,pre_outage,pre_outage__pre_outage,weekday,weekday,True,0.32154147286708457,0.6729171801239014,0.7884615384615385,0.046875
core,near,core->near,2018-01-04,2018-01-11,26.0,27.0,pre_outage,pre_outage,pre_outage__pre_outage,weekday,weekday,True,0.19059667713320508,0.5479763089931847,0.9458689458689458,0.06062644145882608
core,near,core->near,2018-01-04,2018-01-19,26.0,20.0,pre_outage,post_recovery,post_recovery__pre_outage,weekday,weekday,True,0.5140386797078252,0.6982375043891674,0.9230769230769231,0.05385759951614095
core,near,core->near,2018-01-04,2018-01-20,26.0,30.0,pre_outage,post_recovery,post_recovery__pre_outage,weekday,weekend,False,0.11554343805495321,0.5726562866782,0.9128205128205128,0.053642267639361384
core,near,core->near,2018-01-04,2018-01-21,26.0,22.0,pre_outage,post_recovery,post_recovery__pre_outage,weekday,weekend,False,-0.1488338039338421,0.40032038451271784,1.1748251748251748,0.0665101999420688
