grouping_type,series_name,component_directions,zero_rate,daily_mean,daily_std,daily_cv,profile_pearson_mean,profile_pearson_median,profile_pearson_iqr,lag1_daily_correlation,normal_day_daily_cv,normal_day_profile_pearson_mean,rank_by_daily_cv,rank_by_profile_stability
direction,core->near,core->near,0.0,25.652173913043477,5.685777276776388,0.22164894468789312,0.19938385602599126,0.2064207300793509,0.3339701244887932,-0.20499067930828793,0.2166755855792863,0.18175259844032027,4,3
direction,core->outer,core->outer,0.0,5.304347826086956,2.304832524160243,0.4345176070138163,0.11711415121052501,0.037397879600338274,0.39192239170506693,0.3347453556917732,0.3769212172407228,0.12524886907159752,12,6
direction,near->core,near->core,0.0,26.08695652173913,5.938419161223579,0.2276394011802372,0.1012411075713363,0.09543946772954318,0.26328857882105244,-0.3133630248314932,0.21391439604732523,0.0947297193469712,5,10
direction,near->outer,near->outer,0.0,8.217391304347826,3.2884995437147104,0.4001877751610494,0.1199456387656464,0.07436794391350265,0.3906588569669636,-0.4654485087602426,0.39214822007437344,0.11599668488670983,11,8
direction,outer->core,outer->core,0.0,4.521739130434782,1.6752086767540146,0.3704788419744456,0.045433015731867116,-0.05428211634934146,0.31611674801964873,-0.4055596997844224,0.4137552605561168,0.02996825622969914,10,12
direction,outer->near,outer->near,0.0,9.521739130434783,3.2872973870144357,0.34524127808827404,0.11804223996032899,0.09437628193085974,0.33219698209525406,-0.07310611347774078,0.3864911524393184,0.13789713255641414,9,5
reciprocal_pair,core_near,core->near+near->core,0.0,51.73913043478261,10.992631380339814,0.21246262331749222,0.19635201436431254,0.2211774924296751,0.30648612027077826,-0.2828314782775556,0.20210046291375333,0.19969486290196994,3,2
reciprocal_pair,near_outer,near->outer+outer->near,0.0,17.73913043478261,5.809219876465559,0.32748053225173496,0.10969112737737226,0.1029300470931331,0.3677880865903837,-0.30600665674397637,0.3436669839899865,0.11663108175730914,7,7
reciprocal_pair,core_outer,core->outer+outer->core,0.0,9.826086956521738,3.36630595910067,0.342588659554493,0.073406101950214,0.04210610295558057,0.35240000496818985,0.08821673114610741,0.3508299748194555,0.09278474634898996,8,11
source_outflow,core_outflow,core->near+core->outer,0.0,30.956521739130434,6.123562991871238,0.19781172586100912,0.23731523708295332,0.2326367888453722,0.3160492729261922,-0.20456206487458253,0.20251584500731518,0.23632661225063725,2,1
source_outflow,near_outflow,near->core+near->outer,0.0,34.30434782608695,6.167619126672755,0.17979117859755814,0.15955297435767238,0.15964258428569295,0.2877538100551117,-0.18665191022610514,0.1804559082086125,0.15325748362433222,1,4
source_outflow,outer_outflow,outer->core+outer->near,0.0,14.043478260869565,4.0505696666649165,0.28843065737861634,0.09668993202341808,0.06734350297014739,0.32712012947438973,-0.40259872196335017,0.31850682716940965,0.10127318684808123,6,9
