source_region,variable,date_scope,mean,std,cv,zero_rate,hour_profile_pearson_mean,lag1_daily_correlation,correlation_with_source_outflow,candidate_for_modeling
core,present_stock,all_dates,290.1304347826087,43.45248643144715,0.14976879783055363,0.0,0.08943818522863799,0.20796813280236362,0.22824819586861037,True
core,present_stock,normal_dates,297.0,25.881782524908648,0.08714404890541633,0.0,0.11010448871378788,0.15824514869241174,-0.09443978928912378,True
core,linkable_stock,all_dates,287.30434782608694,44.72993179537581,0.1556883219270042,0.0,0.09804470334465372,0.19677787523294546,0.23304303840780463,True
core,linkable_stock,normal_dates,295.0,27.195587877448062,0.09218843348287478,0.0,0.11926449867748526,0.2011967980366117,-0.04891560328663143,True
core,present_outflow_rate,all_dates,,,,0.0,0.23627406132964685,0.1279875880577521,0.8404214863248474,False
core,present_outflow_rate,normal_dates,,,,0.0,0.24304795187797315,0.18655514268967033,0.8469330424312167,False
core,linkable_outflow_rate,all_dates,,,,0.0,0.2320692139915634,0.14151830792037084,0.8485163615103549,False
core,linkable_outflow_rate,normal_dates,,,,0.0,0.2357577694863486,0.1973068682199203,0.8471852532809052,False
near,present_stock,all_dates,578.7826086956521,103.1609318764262,0.1782377879475513,0.0,0.134118635792758,0.5561961392782129,0.14599022508710643,True
near,present_stock,normal_dates,620.375,75.86380340232532,0.122287009312634,0.0,0.2325348529574521,-0.013697862608495327,0.14054620424587605,True
near,linkable_stock,all_dates,561.5652173913044,115.12121125419246,0.2050006084582244,0.0,0.11825766042894639,0.5822785162911617,0.13450531993514722,False
near,linkable_stock,normal_dates,609.75,79.0725405350471,0.12968026328011004,0.0,0.22047734283804246,-0.00098835306754138,0.13900344090381886,True
near,present_outflow_rate,all_dates,,,,0.0,0.1577589961461593,0.2808296509243068,0.670393084639367,False
near,present_outflow_rate,normal_dates,1.2526862851288625,0.23682743898569636,0.18905566525088457,0.0,0.14551803120540274,-0.3755585188426621,0.8695301799744743,False
near,linkable_outflow_rate,all_dates,,,,0.0,0.14807368426638198,0.48247465029531267,0.6174825419507252,False
near,linkable_outflow_rate,normal_dates,,,,0.0,0.1355287236815297,-0.37792491071833917,0.9329283708547683,False
outer,present_stock,all_dates,130.65217391304347,25.00474263315257,0.1913840534317834,0.0,0.17825650799000886,0.4545624929387296,0.3268719490023836,True
outer,present_stock,normal_dates,132.4375,22.922968830411126,0.173085182296639,0.0,0.17629641736548954,0.263041876200103,0.2776149426008898,True
outer,linkable_stock,all_dates,123.04347826086956,24.41027775505743,0.19838741638385896,0.0,0.1500938035760936,0.44383545070027325,0.3484438359077796,True
outer,linkable_stock,normal_dates,125.875,22.33047245357787,0.1774019658675501,0.0,0.15595042249078173,0.22669362361608197,0.3094830347455544,True
outer,present_outflow_rate,all_dates,,,,0.0,0.08147228365054143,-0.06414268349151343,0.8127547228485055,False
outer,present_outflow_rate,normal_dates,2.2732142857142854,0.6746881054535848,0.29679916657816774,0.0,0.1063540149828676,-0.014042461204712552,0.8392166780501104,False
outer,linkable_outflow_rate,all_dates,,,,0.0,0.08176414664163484,-0.09984554868753341,0.7974996213045829,False
outer,linkable_outflow_rate,normal_dates,2.380902777777778,0.7073382866875361,0.2970882697477182,0.0,0.10036844725214616,-0.044076591570585834,0.8308902288820237,False
