evaluation_id,evaluation_type,predictor_method,rounding_method,task_key,n_scored_rows,actual_total,predicted_total,sse_float,sse_rounded,mse_rounded,mae_rounded,mean_bias_rounded,zero_true_rate,zero_prediction_rate
fold_01,rolling_7d,pair_hour_mean,independent,core->near,168,187.0,196.0,329.3211111111111,351.0,2.0892857142857144,1.0535714285714286,0.05357142857142857,0.5238095238095238,0.25
fold_01,rolling_7d,pair_hour_mean,independent,core->outer,168,35.0,21.0,44.05197530864197,52.0,0.30952380952380953,0.25,-0.08333333333333333,0.8452380952380952,0.875
fold_01,rolling_7d,pair_hour_mean,independent,near->core,168,180.0,175.0,301.981975308642,295.0,1.755952380952381,0.9821428571428571,-0.02976190476190476,0.4583333333333333,0.20833333333333334
fold_01,rolling_7d,pair_hour_mean,independent,near->outer,168,59.0,49.0,121.06308641975309,124.0,0.7380952380952381,0.42857142857142855,-0.05952380952380952,0.7916666666666666,0.7083333333333334
fold_01,rolling_7d,pair_hour_mean,independent,outer->core,168,33.0,7.0,47.625679012345685,52.0,0.30952380952380953,0.21428571428571427,-0.15476190476190477,0.8571428571428571,0.9583333333333334
fold_01,rolling_7d,pair_hour_mean,independent,outer->near,168,65.0,56.0,93.87,103.0,0.6130952380952381,0.44642857142857145,-0.05357142857142857,0.7261904761904762,0.6666666666666666
fold_01,rolling_7d,pair_hour_mean,paired,core->near,168,187.0,203.0,329.3211111111111,342.0,2.0357142857142856,1.0595238095238095,0.09523809523809523,0.5238095238095238,0.20833333333333334
fold_01,rolling_7d,pair_hour_mean,paired,core->outer,168,35.0,14.0,44.05197530864197,53.0,0.31547619047619047,0.23214285714285715,-0.125,0.8452380952380952,0.9166666666666666
fold_01,rolling_7d,pair_hour_mean,paired,near->core,168,180.0,196.0,301.981975308642,336.0,2.0,1.0476190476190477,0.09523809523809523,0.4583333333333333,0.16666666666666666
fold_01,rolling_7d,pair_hour_mean,paired,near->outer,168,59.0,56.0,121.06308641975309,127.0,0.7559523809523809,0.44642857142857145,-0.017857142857142856,0.7916666666666666,0.6666666666666666
fold_01,rolling_7d,pair_hour_mean,paired,outer->core,168,33.0,0.0,47.625679012345685,51.0,0.30357142857142855,0.19642857142857142,-0.19642857142857142,0.8571428571428571,1.0
fold_01,rolling_7d,pair_hour_mean,paired,outer->near,168,65.0,77.0,93.87,122.0,0.7261904761904762,0.5238095238095238,0.07142857142857142,0.7261904761904762,0.5833333333333334
fold_01,rolling_7d,pair_hour_fixed085,independent,core->near,168,187.0,154.0,334.3140027777778,357.0,2.125,1.005952380952381,-0.19642857142857142,0.5238095238095238,0.25
fold_01,rolling_7d,pair_hour_fixed085,independent,core->outer,168,35.0,21.0,43.81438549382716,52.0,0.30952380952380953,0.25,-0.08333333333333333,0.8452380952380952,0.875
fold_01,rolling_7d,pair_hour_fixed085,independent,near->core,168,180.0,161.0,295.4424771604938,321.0,1.9107142857142858,0.9940476190476191,-0.1130952380952381,0.4583333333333333,0.20833333333333334
fold_01,rolling_7d,pair_hour_fixed085,independent,near->outer,168,59.0,49.0,119.54841327160494,124.0,0.7380952380952381,0.42857142857142855,-0.05952380952380952,0.7916666666666666,0.7083333333333334
fold_01,rolling_7d,pair_hour_fixed085,independent,outer->core,168,33.0,7.0,46.98105308641976,52.0,0.30952380952380953,0.21428571428571427,-0.15476190476190477,0.8571428571428571,0.9583333333333334
fold_01,rolling_7d,pair_hour_fixed085,independent,outer->near,168,65.0,56.0,90.547575,103.0,0.6130952380952381,0.44642857142857145,-0.05357142857142857,0.7261904761904762,0.6666666666666666
fold_01,rolling_7d,pair_hour_fixed085,paired,core->near,168,187.0,175.0,334.3140027777778,324.0,1.9285714285714286,1.0,-0.07142857142857142,0.5238095238095238,0.20833333333333334
fold_01,rolling_7d,pair_hour_fixed085,paired,core->outer,168,35.0,14.0,43.81438549382716,45.0,0.26785714285714285,0.20833333333333334,-0.125,0.8452380952380952,0.9166666666666666
fold_01,rolling_7d,pair_hour_fixed085,paired,near->core,168,180.0,168.0,295.4424771604938,320.0,1.9047619047619047,1.0,-0.07142857142857142,0.4583333333333333,0.16666666666666666
fold_01,rolling_7d,pair_hour_fixed085,paired,near->outer,168,59.0,35.0,119.54841327160494,150.0,0.8928571428571429,0.42857142857142855,-0.14285714285714285,0.7916666666666666,0.7916666666666666
fold_01,rolling_7d,pair_hour_fixed085,paired,outer->core,168,33.0,0.0,46.98105308641976,51.0,0.30357142857142855,0.19642857142857142,-0.19642857142857142,0.8571428571428571,1.0
fold_01,rolling_7d,pair_hour_fixed085,paired,outer->near,168,65.0,70.0,90.547575,111.0,0.6607142857142857,0.49404761904761907,0.02976190476190476,0.7261904761904762,0.5833333333333334
fold_01,rolling_7d,pair_recent14_hour,independent,core->near,168,187.0,196.0,329.3211111111111,351.0,2.0892857142857144,1.0535714285714286,0.05357142857142857,0.5238095238095238,0.25
fold_01,rolling_7d,pair_recent14_hour,independent,core->outer,168,35.0,21.0,44.05197530864197,52.0,0.30952380952380953,0.25,-0.08333333333333333,0.8452380952380952,0.875
fold_01,rolling_7d,pair_recent14_hour,independent,near->core,168,180.0,175.0,301.981975308642,295.0,1.755952380952381,0.9821428571428571,-0.02976190476190476,0.4583333333333333,0.20833333333333334
fold_01,rolling_7d,pair_recent14_hour,independent,near->outer,168,59.0,49.0,121.06308641975309,124.0,0.7380952380952381,0.42857142857142855,-0.05952380952380952,0.7916666666666666,0.7083333333333334
fold_01,rolling_7d,pair_recent14_hour,independent,outer->core,168,33.0,7.0,47.625679012345685,52.0,0.30952380952380953,0.21428571428571427,-0.15476190476190477,0.8571428571428571,0.9583333333333334
fold_01,rolling_7d,pair_recent14_hour,independent,outer->near,168,65.0,56.0,93.87,103.0,0.6130952380952381,0.44642857142857145,-0.05357142857142857,0.7261904761904762,0.6666666666666666
fold_01,rolling_7d,pair_recent14_hour,paired,core->near,168,187.0,203.0,329.3211111111111,342.0,2.0357142857142856,1.0595238095238095,0.09523809523809523,0.5238095238095238,0.20833333333333334
fold_01,rolling_7d,pair_recent14_hour,paired,core->outer,168,35.0,14.0,44.05197530864197,53.0,0.31547619047619047,0.23214285714285715,-0.125,0.8452380952380952,0.9166666666666666
fold_01,rolling_7d,pair_recent14_hour,paired,near->core,168,180.0,196.0,301.981975308642,336.0,2.0,1.0476190476190477,0.09523809523809523,0.4583333333333333,0.16666666666666666
fold_01,rolling_7d,pair_recent14_hour,paired,near->outer,168,59.0,56.0,121.06308641975309,127.0,0.7559523809523809,0.44642857142857145,-0.017857142857142856,0.7916666666666666,0.6666666666666666
fold_01,rolling_7d,pair_recent14_hour,paired,outer->core,168,33.0,0.0,47.625679012345685,51.0,0.30357142857142855,0.19642857142857142,-0.19642857142857142,0.8571428571428571,1.0
fold_01,rolling_7d,pair_recent14_hour,paired,outer->near,168,65.0,77.0,93.87,122.0,0.7261904761904762,0.5238095238095238,0.07142857142857142,0.7261904761904762,0.5833333333333334
fold_01,rolling_7d,pair_recent14_fixed085,independent,core->near,168,187.0,154.0,334.3140027777778,357.0,2.125,1.005952380952381,-0.19642857142857142,0.5238095238095238,0.25
fold_01,rolling_7d,pair_recent14_fixed085,independent,core->outer,168,35.0,21.0,43.81438549382716,52.0,0.30952380952380953,0.25,-0.08333333333333333,0.8452380952380952,0.875
fold_01,rolling_7d,pair_recent14_fixed085,independent,near->core,168,180.0,161.0,295.4424771604938,321.0,1.9107142857142858,0.9940476190476191,-0.1130952380952381,0.4583333333333333,0.20833333333333334
fold_01,rolling_7d,pair_recent14_fixed085,independent,near->outer,168,59.0,49.0,119.54841327160494,124.0,0.7380952380952381,0.42857142857142855,-0.05952380952380952,0.7916666666666666,0.7083333333333334
fold_01,rolling_7d,pair_recent14_fixed085,independent,outer->core,168,33.0,7.0,46.98105308641976,52.0,0.30952380952380953,0.21428571428571427,-0.15476190476190477,0.8571428571428571,0.9583333333333334
