evaluation_id,evaluation_type,predictor_method,rounding_method,n_prediction_rows,n_scored_rows,sse_float,sse_rounded,mse_rounded,mae_rounded,mean_bias_rounded,actual_total_scored,predicted_total_scored,constraint_adjustment_count,max_constraint_adjustment,core_to_near_sse,core_to_outer_sse,near_to_core_sse,near_to_outer_sse,outer_to_core_sse,outer_to_near_sse
final_analog,final_analog,pair_hour_circular_cv,independent,864,858,698.7019909543338,766.0,0.8927738927738927,0.5407925407925408,-0.05128205128205128,468.0,424.0,0,0.0,246.0,49.0,267.0,66.0,37.0,101.0
final_analog,final_analog,pair_hour_circular_cv,paired,864,858,698.7019909543338,776.0,0.9044289044289044,0.5641025641025641,0.004662004662004662,468.0,472.0,0,0.0,250.0,57.0,253.0,74.0,41.0,101.0
final_analog,final_analog,pair_hour_circular_scale_cv,independent,864,858,700.9324499291138,764.0,0.8904428904428905,0.5501165501165501,-0.016317016317016316,468.0,454.0,0,0.0,248.0,49.0,267.0,64.0,37.0,99.0
final_analog,final_analog,pair_hour_circular_scale_cv,paired,864,858,701.0683185553634,752.0,0.8764568764568764,0.5477855477855478,-0.023310023310023312,468.0,448.0,0,0.0,244.0,49.0,253.0,68.0,37.0,101.0
final_analog,final_analog,pair_hour_direction_scale_cv,independent,864,858,703.2825170634003,762.0,0.8881118881118881,0.5034965034965035,-0.14918414918414918,468.0,340.0,0,0.0,248.0,49.0,271.0,62.0,37.0,95.0
final_analog,final_analog,pair_hour_direction_scale_cv,paired,864,858,707.1460775801415,764.0,0.8904428904428905,0.5198135198135199,-0.11421911421911422,468.0,370.0,0,0.0,250.0,49.0,259.0,66.0,41.0,99.0
final_analog,final_analog,pair_hour_fixed085,independent,864,858,706.5317592592592,760.0,0.8857808857808858,0.5104895104895105,-0.12121212121212122,468.0,364.0,0,0.0,244.0,49.0,271.0,68.0,37.0,91.0
final_analog,final_analog,pair_hour_fixed085,paired,864,858,706.5317592592592,773.0,0.9009324009324009,0.5303030303030303,-0.08741258741258741,468.0,393.0,0,0.0,250.0,49.0,265.0,69.0,41.0,99.0
final_analog,final_analog,pair_hour_hier_tau_cv,independent,864,858,691.4243063614972,750.0,0.8741258741258742,0.5314685314685315,-0.05827505827505827,468.0,418.0,0,0.0,238.0,49.0,267.0,68.0,37.0,91.0
final_analog,final_analog,pair_hour_hier_tau_cv,paired,864,858,691.4243063614972,755.0,0.87995337995338,0.5536130536130536,-0.0034965034965034965,468.0,465.0,0,0.0,240.0,49.0,253.0,75.0,41.0,97.0
final_analog,final_analog,pair_hour_hier_tau_scale_cv,independent,864,858,691.6055409609845,742.0,0.8648018648018648,0.5174825174825175,-0.09324009324009325,468.0,388.0,0,0.0,238.0,49.0,259.0,68.0,37.0,91.0
final_analog,final_analog,pair_hour_hier_tau_scale_cv,paired,864,858,698.3422361314409,750.0,0.8741258741258742,0.5291375291375291,-0.06526806526806526,468.0,412.0,0,0.0,242.0,49.0,253.0,66.0,41.0,99.0
final_analog,final_analog,pair_hour_mean,independent,864,858,714.5676022042804,793.0,0.9242424242424242,0.5326340326340326,-0.06643356643356643,468.0,411.0,0,0.0,272.0,49.0,271.0,73.0,37.0,91.0
final_analog,final_analog,pair_hour_mean,paired,864,858,714.5676022042804,815.0,0.9498834498834499,0.5652680652680653,-0.0034965034965034965,468.0,465.0,0,0.0,280.0,49.0,273.0,75.0,41.0,97.0
final_analog,final_analog,pair_recent14_fixed085,independent,864,858,696.8382736082599,764.0,0.8904428904428905,0.49417249417249415,-0.19114219114219114,468.0,304.0,0,0.0,252.0,49.0,267.0,66.0,37.0,93.0
final_analog,final_analog,pair_recent14_fixed085,paired,864,858,696.8382736082599,764.0,0.8904428904428905,0.5314685314685315,-0.08624708624708624,468.0,394.0,0,0.0,252.0,49.0,257.0,72.0,47.0,87.0
final_analog,final_analog,pair_recent14_hour,independent,864,858,698.8053978988045,780.0,0.9090909090909091,0.5221445221445221,-0.10722610722610723,468.0,376.0,0,0.0,250.0,49.0,279.0,70.0,39.0,93.0
final_analog,final_analog,pair_recent14_hour,paired,864,858,698.8053978988045,807.0,0.9405594405594405,0.5652680652680653,-0.024475524475524476,468.0,447.0,0,0.0,262.0,49.0,281.0,81.0,47.0,87.0
final_analog,final_analog,present_shrunk20,independent,864,858,707.2494900673445,785.0,0.914918414918415,0.5372960372960373,-0.05944055944055944,468.0,417.0,0,0.0,262.0,49.0,273.0,73.0,37.0,91.0
final_analog,final_analog,present_shrunk20,paired,864,858,707.2494900673445,795.0,0.9265734265734266,0.5629370629370629,0.0034965034965034965,468.0,471.0,0,0.0,260.0,49.0,273.0,75.0,41.0,97.0
final_analog,final_analog,present_shrunk20_direction_scale_cv,independent,864,858,701.4210910930749,758.0,0.8834498834498834,0.5104895104895105,-0.11421911421911422,468.0,370.0,0,0.0,244.0,49.0,271.0,66.0,37.0,91.0
final_analog,final_analog,present_shrunk20_direction_scale_cv,paired,864,858,707.1824761236886,762.0,0.8881118881118881,0.5174825174825175,-0.1282051282051282,468.0,358.0,0,0.0,250.0,49.0,259.0,66.0,41.0,97.0
final_analog,final_analog,present_shrunk20_scale_cv,independent,864,858,701.8799186673443,760.0,0.8857808857808858,0.5104895104895105,-0.12121212121212122,468.0,364.0,0,0.0,244.0,49.0,271.0,68.0,37.0,91.0
final_analog,final_analog,present_shrunk20_scale_cv,paired,864,858,707.1424855769588,762.0,0.8881118881118881,0.5174825174825175,-0.11421911421911422,468.0,370.0,0,0.0,250.0,49.0,259.0,66.0,41.0,97.0
fold_01,rolling_7d,pair_hour_circular_cv,independent,1008,1008,912.8457407407408,1007.0,0.9990079365079365,0.564484126984127,-0.09623015873015874,559.0,462.0,0,0.0,375.0,45.0,308.0,125.0,51.0,103.0
fold_01,rolling_7d,pair_hour_circular_cv,paired,1008,1008,912.8457407407408,1007.0,0.9990079365079365,0.5962301587301587,0.000992063492063492,559.0,560.0,0,0.0,330.0,53.0,308.0,151.0,51.0,114.0
fold_01,rolling_7d,pair_hour_circular_scale_cv,independent,1008,1008,920.2400500000001,1003.0,0.9950396825396826,0.5525793650793651,-0.1378968253968254,559.0,420.0,0,0.0,375.0,45.0,302.0,126.0,51.0,104.0
fold_01,rolling_7d,pair_hour_circular_scale_cv,paired,1008,1008,1008.6635684194482,1048.0,1.0396825396825398,0.5595238095238095,-0.17261904761904762,559.0,385.0,0,0.0,401.0,50.0,294.0,145.0,51.0,107.0
fold_01,rolling_7d,pair_hour_direction_scale_cv,independent,1008,1008,957.3509322851887,1039.0,1.0307539682539681,0.5525793650793651,-0.1378968253968254,559.0,420.0,0,0.0,372.0,52.0,314.0,144.0,51.0,106.0
fold_01,rolling_7d,pair_hour_direction_scale_cv,paired,1008,1008,946.420780416965,1057.0,1.0486111111111112,0.5684523809523809,-0.1378968253968254,559.0,420.0,0,0.0,372.0,53.0,323.0,150.0,51.0,108.0
fold_01,rolling_7d,pair_hour_fixed085,independent,1008,1008,930.6479067901234,1009.0,1.0009920634920635,0.5565476190476191,-0.11011904761904762,559.0,448.0,0,0.0,357.0,52.0,321.0,124.0,52.0,103.0
fold_01,rolling_7d,pair_hour_fixed085,paired,1008,1008,930.6479067901234,1001.0,0.9930555555555556,0.5545634920634921,-0.09623015873015874,559.0,462.0,0,0.0,324.0,45.0,320.0,150.0,51.0,111.0
fold_01,rolling_7d,pair_hour_hier_tau_cv,independent,1008,1008,961.5947800288554,1054.0,1.0456349206349207,0.5555555555555556,-0.2003968253968254,559.0,357.0,0,0.0,401.0,57.0,294.0,145.0,51.0,106.0
fold_01,rolling_7d,pair_hour_hier_tau_cv,paired,1008,1008,914.9081234104247,1012.0,1.003968253968254,0.5932539682539683,-0.005952380952380952,559.0,553.0,0,0.0,335.0,45.0,310.0,149.0,56.0,117.0
