date,region,target_daily_region_y,regression_slope,train_region_mean
2018-01-25,core,126.83898451832707,4.832640682915884,142.04166666666666
2018-01-26,core,136.50426588415883,4.832640682915884,142.04166666666666
2018-01-27,core,146.16954724999061,4.832640682915884,142.04166666666666
2018-01-28,core,138.92058622561677,4.832640682915884,142.04166666666666
2018-01-29,core,134.0879455427009,4.832640682915884,142.04166666666666
2018-01-30,core,134.0879455427009,4.832640682915884,142.04166666666666
2018-01-31,core,129.255304859785,4.832640682915884,142.04166666666666
2018-01-25,near,81.24202750009356,2.929686622486811,90.45833333333333
2018-01-26,near,87.10140074506718,2.929686622486811,90.45833333333333
2018-01-27,near,92.9607739900408,2.929686622486811,90.45833333333333
2018-01-28,near,88.5662440563106,2.929686622486811,90.45833333333333
2018-01-29,near,85.63655743382378,2.929686622486811,90.45833333333333
2018-01-30,near,85.63655743382378,2.929686622486811,90.45833333333333
2018-01-31,near,82.70687081133697,2.929686622486811,90.45833333333333
2018-01-25,outer,39.23563920401362,0.9449623722340807,42.208333333333336
2018-01-26,outer,41.12556394848178,0.9449623722340807,42.208333333333336
2018-01-27,outer,43.015488692949944,0.9449623722340807,42.208333333333336
2018-01-28,outer,41.59804513459882,0.9449623722340807,42.208333333333336
2018-01-29,outer,40.65308276236474,0.9449623722340807,42.208333333333336
2018-01-30,outer,40.65308276236474,0.9449623722340807,42.208333333333336
2018-01-31,outer,39.70812039013066,0.9449623722340807,42.208333333333336
