variable,K,harmonic,a_mean,a_std,b_mean,b_std,amp_mean,amp_std,phase_mean,lag1_a,lag1_amp,n_weekday,n_weekend,weekday_a_mean,weekend_a_mean
K1_harmonic1,1,1,-1.8383147213251811,2.73670383095395,0.8139129609536083,1.7655311422805358,3.2767239738339335,1.817399557393077,-0.366923712877224,-0.20277461040745628,0.32911143235941565,8,4,-2.5253408747678705,-0.4642624144398023
K2_harmonic1,2,1,-1.8383147213251811,2.7367038309539495,0.8139129609536083,1.7655311422805355,3.2767239738339335,1.8173995573930772,-0.36692371287722403,-0.20277461040745628,0.32911143235941565,8,4,-2.5253408747678705,-0.46426241443980243
K2_harmonic2,2,2,0.033110758280771896,2.0828847186001873,0.5136884942381927,1.681078944608317,2.4260558247575834,1.0162091220832232,0.007812178750781551,-0.20515683079126426,-0.16683402013760915,8,4,-0.8044736814530983,1.7082796377485123
