date,level,day_type,U_d,K1_a1,K1_b1,K1_amp1,K1_phase1,K2_a1,K2_b1,K2_amp1,K2_phase1,K2_a2,K2_b2,K2_amp2,K2_phase2,K3_a1,K3_b1,K3_amp1,K3_phase1,K3_a2,K3_b2,K3_amp2,K3_phase2,K3_a3,K3_b3,K3_amp3,K3_phase3,K4_a1,K4_b1,K4_amp1,K4_phase1,K4_a2,K4_b2,K4_amp2,K4_phase2,K4_a3,K4_b3,K4_amp3,K4_phase3,K4_a4,K4_b4,K4_amp4,K4_phase4
2018-01-06,-1.7083333333333333,weekend,61,1.6075083239874095,1.0867009158395853,1.9403612787765592,0.9763491910737141,1.6075083239874093,1.0867009158395855,1.9403612787765592,0.9763491910737139,-1.5163460352255547,1.571367205045918,2.1836895822524958,-0.7675806580102101,1.6075083239874093,1.0867009158395848,1.9403612787765585,0.9763491910737142,-1.5163460352255542,1.5713672050459178,2.1836895822524953,-0.76758065801021,0.8333333333333327,-0.591708755282362,1.0220389892378108,2.1882357968555675,1.6075083239874093,1.0867009158395853,1.940361278776559,0.976349191073714,-1.5163460352255551,1.5713672050459189,2.1836895822524967,-0.76758065801021,0.8333333333333331,-0.5917087552823608,1.0220389892378103,2.188235796855566,0.43301270189221663,-0.16666666666666888,0.4639803635691668,1.9382182314147047
2018-01-07,1.0833333333333333,weekend,60,-0.8849701998650122,0.5883359615512859,1.0626906691524096,-0.9840810535663798,-0.8849701998650124,0.5883359615512865,1.0626906691524098,-0.9840810535663793,2.7320508075688776,1.9330127018922187,3.3467356813489784,0.9550333591826106,-0.8849701998650124,0.5883359615512889,1.0626906691524112,-0.9840810535663775,2.732050807568879,1.9330127018922196,3.3467356813489806,0.9550333591826106,2.493359184731916,-0.5362524035453684,2.5503738283622637,1.7826415564828608,-0.8849701998650124,0.5883359615512858,1.0626906691524096,-0.9840810535663799,2.7320508075688767,1.9330127018922199,3.3467356813489784,0.9550333591826101,2.493359184731914,-0.5362524035453672,2.5503738283622615,1.7826415564828606,-0.577350269189628,0.7500000000000004,0.9464847243000474,-0.6560533740603413
2018-01-08,-1.5833333333333333,weekday,56,0.6469309655522877,-1.0193340337803085,1.207295136498632,2.5760766610286616,0.6469309655522877,-1.0193340337803076,1.2072951364986313,2.576076661028661,0.48584391824351436,0.9858439182435162,1.0990598455188594,0.4578873883395847,0.6469309655522877,-1.0193340337803076,1.2072951364986313,2.576076661028661,0.48584391824351547,0.9858439182435166,1.0990598455188603,0.4578873883395855,0.2398899713700309,-0.18515211724566674,0.30303218456868136,2.2281172358945027,0.6469309655522877,-1.0193340337803087,1.2072951364986322,2.5760766610286616,0.4858439182435154,0.985843918243516,1.0990598455188598,0.45788738833958564,0.23988997137003076,-0.18515211724566705,0.3030321845686815,2.228117235894504,0.43301270189221996,-2.3333333333333335,2.373171810983024,2.9581031628186087
2018-01-09,-1.5833333333333333,weekday,54,-0.9432962252450195,2.512616206121911,2.683849468175883,-0.35914227424394685,-0.9432962252450197,2.5126162061219115,2.683849468175883,-0.35914227424394685,-0.50737143900999,2.49321535725351,2.5443169210552004,-0.20075948225677417,-0.9432962252450197,2.5126162061219115,2.683849468175883,-0.35914227424394685,-0.5073714390099893,2.4932153572535114,2.5443169210552017,-0.20075948225677376,5.98498376278289,-0.7768608725280265,6.035192081122178,1.6998762895412256,-0.9432962252450197,2.512616206121912,2.6838494681758838,-0.3591422742439468,-0.5073714390099915,2.4932153572535105,2.5443169210552012,-0.20075948225677467,5.98498376278289,-0.776860872528023,6.035192081122177,1.699876289541225,-0.36084391824351864,1.7083333333333333,1.746027236646414,-0.2081658419373696
2018-01-10,-2.875,weekday,54,-3.2150681061671698,2.2490532300321173,3.92363394811637,-0.9603823936750889,-3.2150681061671698,2.2490532300321187,3.923633948116371,-0.9603823936750887,-1.3518693220279547,1.319177251576849,1.888856607823413,-0.7976369758759664,-3.2150681061671698,2.2490532300321164,3.9236339481163696,-0.9603823936750892,-1.3518693220279538,1.3191772515768487,1.8888566078234124,-0.7976369758759662,1.0589255650988816,-2.8838834764831858,3.0721502662390603,2.7896889500684785,-3.2150681061671698,2.2490532300321173,3.92363394811637,-0.9603823936750889,-1.3518693220279552,1.3191772515768472,1.8888566078234121,-0.7976369758759673,1.0589255650988822,-2.8838834764831858,3.0721502662390607,2.7896889500684785,0.7216878364870305,0.499999999999998,0.877971146071059,0.964905207955651
2018-01-11,-2.375,weekday,54,-4.668585644646034,1.2828759249218789,4.841638416914174,-1.3026263025996323,-4.668585644646034,1.2828759249218793,4.841638416914174,-1.3026263025996323,1.2165063509461087,0.33034180126147905,1.2605607512345034,1.3056407555143064,-4.668585644646034,1.28287592492188,4.841638416914174,-1.302626302599632,1.2165063509461096,0.33034180126147955,1.2605607512345045,1.3056407555143061,-0.9469967525565791,2.1945436482630045,2.3901516005233234,-0.4073829546644468,-4.668585644646034,1.2828759249218806,4.841638416914175,-1.302626302599632,1.2165063509461083,0.33034180126148077,1.2605607512345034,1.305640755514305,-0.946996752556579,2.1945436482630054,2.3901516005233243,-0.40738295466444663,-1.0825317547305482,1.5416666666666654,1.8837757592428848,-0.6121894021300206
2018-01-19,-2.7083333333333335,weekday,52,-5.2713602460188,-1.0576471625810806,5.376416684356151,-1.7688074585692362,-5.2713602460188,-1.05764716258108,5.376416684356151,-1.7688074585692362,-1.971687836487034,2.2767090063073976,3.0118029191751807,-0.7137243789447661,-5.2713602460188,-1.057647162581082,5.376416684356151,-1.7688074585692364,-1.971687836487034,2.2767090063073963,3.0118029191751794,-0.7137243789447664,-2.0261423749153957,0.3047378541243646,2.048930961053623,-1.4215122885699525,-5.2713602460188,-1.057647162581079,5.376416684356151,-1.768807458569236,-1.9716878364870334,2.2767090063073976,3.01180291917518,-0.7137243789447659,-2.0261423749153966,0.30473785412436266,2.0489309610536237,-1.4215122885699534,0.4330127018922197,1.416666666666666,1.4813657362192645,0.29663769655662847
2018-01-20,3.9583333333333335,weekend,55,3.0221085106198684,-1.6545381094040663,3.4453789639793504,2.0717012469299267,3.0221085106198684,-1.6545381094040665,3.445378963979351,2.071701246929927,1.779700538379252,-0.25518148554092224,1.7979019986835407,1.713210160740266,3.0221085106198684,-1.654538109404065,3.4453789639793495,2.0717012469299267,1.779700538379252,-0.2551814855409212,1.7979019986835407,1.7132101607402654,1.1684012733476081,1.14818121608767,1.6381335844603373,0.7941263411711986,3.0221085106198684,-1.6545381094040674,3.445378963979351,2.071701246929927,1.7797005383792528,-0.2551814855409217,1.7979019986835416,1.7132101607402657,1.1684012733476072,1.14818121608767,1.6381335844603366,0.7941263411711983,-1.2268693220279525,-2.041666666666666,2.3819343213260735,-2.6005002000301607
2018-01-21,3.875,weekend,54,-5.601696292501475,4.240992203022918,7.026024211424692,-0.9227725898001244,-5.601696292501475,4.240992203022918,7.026024211424692,-0.9227725898001244,3.8377132402714746,-2.4940169358562927,4.576916362671815,2.1470805625336324,-5.601696292501475,4.240992203022919,7.026024211424692,-0.9227725898001243,3.8377132402714715,-2.4940169358562922,4.5769163626718115,2.147080562533633,1.8392556509887903,-0.04044011451988323,1.8397001800718995,1.5927800024348249,-5.601696292501475,4.240992203022918,7.026024211424692,-0.9227725898001244,3.837713240271471,-2.4940169358562922,4.5769163626718115,2.147080562533633,1.8392556509887923,-0.04044011451987965,1.8397001800719015,1.592780002434823,1.0103629710818425,3.7845048692553435e-15,1.0103629710818425,1.5707963267948928
2018-01-22,-2.4583333333333335,weekday,52,-1.816475103800839,1.8328276514362,2.5804726316311526,-0.7809171873635062,-1.8164751038008393,1.8328276514361985,2.5804726316311517,-0.7809171873635067,-2.871206889325361,-1.4627132402714724,3.2223219926901914,-2.0419689339901472,-1.8164751038008393,1.8328276514361979,2.5804726316311513,-0.7809171873635069,-2.8712068893253604,-1.4627132402714718,3.2223219926901905,-2.041968933990147,-0.3274110156778781,1.7963624321753384,1.8259561771625619,-0.18028437855573953,-1.8164751038008393,1.8328276514361999,2.5804726316311526,-0.7809171873635063,-2.87120688932536,-1.4627132402714713,3.22232199269019,-2.041968933990147,-0.32741101567787617,1.7963624321753389,1.825956177162562,-0.18028437855573845,-0.07216878364870324,1.375,1.3768926368215255,-0.05243827074901854
2018-01-23,0.4583333333333333,weekday,48,-1.382435112759651,0.691978401990544,1.5459498535891052,-1.1067085217406563,-1.382435112759651,0.6919784019905433,1.545949853589105,-1.1067085217406567,-1.965704772343322,-1.8883545031536975,2.725780251890119,-2.3361273659813837,-1.382435112759651,0.6919784019905417,1.5459498535891043,-1.1067085217406576,-1.9657047723433243,-1.8883545031536972,2.72578025189012,-2.336127365981383,0.14225889843221398,0.4672168098165184,0.48839445283323163,0.2955632200280246,-1.382435112759651,0.6919784019905431,1.5459498535891047,-1.1067085217406567,-1.965704772343324,-1.8883545031536983,2.7257802518901206,-2.3361273659813833,0.14225889843221648,0.4672168098165185,0.4883944528332324,0.2955632200280294,3.8971143170299745,-0.08333333333332996,3.898005187842167,1.5921764118329
2018-01-24,2.0416666666666665,weekday,48,-3.552437525057738,-0.9869056577076877,3.6869764233927222,-1.8417738720004198,-3.5524375250577385,-0.9869056577076871,3.6869764233927222,-1.8417738720004195,0.5297005383792518,1.3548608540998095,1.4547269827467058,0.3726917137582264,-3.5524375250577385,-0.9869056577076871,3.6869764233927222,-1.8417738720004195,0.5297005383792527,1.3548608540998095,1.4547269827467062,0.37269171375822696,-1.1481812160876674,0.23396765371457232,1.1717768422192243,-1.3697760949262447,-3.5524375250577385,-0.9869056577076873,3.6869764233927227,-1.8417738720004195,0.529700538379254,1.3548608540998093,1.4547269827467064,0.37269171375822785,-1.148181216087667,0.23396765371457234,1.1717768422192238,-1.3697760949262447,-1.0825317547305424,-3.5416666666666656,3.7034143405481594,-2.8449549570331665
