task,source_path,output_path,row_count,row_order_equal,key_unique,sha256_equal_to_source,changed_value_count,unchanged_value_count,missing_value_count,negative_value_count,noninteger_value_count,passed
A,outputs\step18_b_single_direction_control\candidate_08_A4423_B_core_to_near_only\提交结果1_区域活跃拖轮数量.csv,outputs\step19_b_near_to_outer_circular_control\candidate_09_A4423_B_coreNear_plus_nearOuterCircular\提交结果1_区域活跃拖轮数量.csv,504,True,True,True,0,504,0,0,0,True
B,outputs\step18_b_single_direction_control\candidate_08_A4423_B_core_to_near_only\提交结果2_圈层间拖轮迁移量.csv,outputs\step19_b_near_to_outer_circular_control\candidate_09_A4423_B_coreNear_plus_nearOuterCircular\提交结果2_圈层间拖轮迁移量.csv,1008,True,True,False,21,987,0,0,0,True
