target_date,lag,source_date,profile_corr,profile_l2
2018-01-02,1,2018-01-01,0.6742359957091542,0.07595946392481547
2018-01-03,1,2018-01-02,0.6560209420927848,0.05662939941193896
2018-01-03,2,2018-01-01,0.6788874785757057,0.07558905783686339
2018-01-04,1,2018-01-03,0.2861189114527335,0.09610934008460277
2018-01-04,2,2018-01-02,0.5201499810801692,0.08086491371527445
2018-01-04,3,2018-01-01,0.32261533568301126,0.11319841562839925
2018-01-05,1,2018-01-04,0.2570202275360559,0.10584728915684177
2018-01-05,2,2018-01-03,0.616195690877704,0.06676589602150249
2018-01-05,3,2018-01-02,0.6624253007161643,0.06355454810378929
2018-01-05,4,2018-01-01,0.47941660713741774,0.09612304064142033
2018-01-06,1,2018-01-05,0.5966843064701864,0.079516873330842
2018-01-06,2,2018-01-04,0.4418602875075649,0.09738069302022613
2018-01-06,3,2018-01-03,0.6284584416698364,0.07304328551161177
2018-01-06,4,2018-01-02,0.5197905604118089,0.08254263544928546
2018-01-06,5,2018-01-01,0.7609086071317569,0.0684223312645378
2018-01-07,1,2018-01-06,0.36947111619943074,0.09581636027398316
2018-01-07,2,2018-01-05,0.5102668321182611,0.07820564372719344
2018-01-07,3,2018-01-04,0.310437412463704,0.09837343664158492
2018-01-07,4,2018-01-03,0.3422685445830634,0.08158801669650063
2018-01-07,5,2018-01-02,0.6543402079585501,0.06047027836530397
2018-01-07,6,2018-01-01,0.4040840138810562,0.09990657357374612
2018-01-08,1,2018-01-07,0.5059593938046497,0.08599893248664056
2018-01-08,2,2018-01-06,0.634448855838374,0.08033029131134882
2018-01-08,3,2018-01-05,0.6169371273765949,0.07818204011758942
2018-01-08,4,2018-01-04,0.4272576797456001,0.09929688546062208
2018-01-08,5,2018-01-03,0.5855778856668243,0.07743941325772623
2018-01-08,6,2018-01-02,0.720165152402264,0.06560487834330711
2018-01-08,7,2018-01-01,0.7000832410875244,0.07681810193847717
2018-01-09,1,2018-01-08,0.18053085954892778,0.12144713580129088
2018-01-09,2,2018-01-07,0.25638270773527094,0.1050963596733476
2018-01-09,3,2018-01-06,0.18019581860554632,0.12072997733577343
2018-01-09,4,2018-01-05,0.14744958145548437,0.11633822691734583
2018-01-09,5,2018-01-04,0.5004032656116364,0.0931082081057272
2018-01-09,6,2018-01-03,0.013872907949811587,0.11540395407255387
2018-01-09,7,2018-01-02,0.19754090404765345,0.10635117360016495
2018-01-09,8,2018-01-01,0.12653480645004306,0.13101200036253705
2018-01-10,1,2018-01-09,0.2920690965250481,0.11205143727204896
2018-01-10,2,2018-01-08,0.4346122345328829,0.09977303305427615
2018-01-10,3,2018-01-07,0.4057429116765235,0.09295880499701892
2018-01-10,4,2018-01-06,0.5809858887745329,0.08535078792805331
2018-01-10,5,2018-01-05,0.22157601522732587,0.10979523334659633
2018-01-10,6,2018-01-04,0.33476994266633436,0.10616518706658357
2018-01-10,7,2018-01-03,0.5731158840559468,0.07743693629842316
