method,block,target_start,target_end,n_scored_rows,sse_rounded,mse_rounded,mae_rounded,mean_bias_rounded
baseline_confirmed_structure,nonoverlap_block_1,2018-01-11,2018-01-17,1008,1047.0,1.0386904761904763,0.558531746031746,-0.17956349206349206
baseline_confirmed_structure,nonoverlap_block_2,2018-01-18,2018-01-24,1002,880.0,0.8782435129740519,0.5229540918163673,-0.12574850299401197
baseline_confirmed_structure,nonoverlap_combined,2018-01-11,2018-01-24,2010,1927.0,0.9587064676616915,0.5407960199004975,-0.1527363184079602
hybrid_confirmed_core_near,nonoverlap_block_1,2018-01-11,2018-01-17,1008,991.0,0.9831349206349206,0.5307539682539683,-0.16567460317460317
hybrid_confirmed_core_near,nonoverlap_block_2,2018-01-18,2018-01-24,1002,885.0,0.8832335329341318,0.5219560878243513,-0.1187624750499002
hybrid_confirmed_core_near,nonoverlap_combined,2018-01-11,2018-01-24,2010,1876.0,0.9333333333333333,0.5263681592039801,-0.14228855721393036
