evaluation_id,evaluation_type,method,task_key,n_scored_rows,actual_total,predicted_total,sse_rounded,mse_rounded,mae_rounded,mean_bias_rounded
fold_04,rolling_7d,baseline_confirmed_structure,near->outer,168,56.0,28.0,92.0,0.5476190476190477,0.3333333333333333,-0.16666666666666666
fold_04,rolling_7d,baseline_confirmed_structure,outer->near,168,67.0,49.0,108.0,0.6428571428571429,0.42857142857142855,-0.10714285714285714
fold_04,rolling_7d,baseline_confirmed_structure,core->outer,168,27.0,7.0,34.0,0.20238095238095238,0.16666666666666666,-0.11904761904761904
fold_04,rolling_7d,baseline_confirmed_structure,outer->core,168,32.0,0.0,50.0,0.2976190476190476,0.19047619047619047,-0.19047619047619047
fold_04,rolling_7d,hybrid_confirmed_core_near,core->near,168,189.0,175.0,346.0,2.0595238095238093,1.1071428571428572,-0.08333333333333333
fold_04,rolling_7d,hybrid_confirmed_core_near,near->core,168,170.0,189.0,255.0,1.5178571428571428,0.9702380952380952,0.1130952380952381
fold_04,rolling_7d,hybrid_confirmed_core_near,near->outer,168,56.0,28.0,92.0,0.5476190476190477,0.3333333333333333,-0.16666666666666666
fold_04,rolling_7d,hybrid_confirmed_core_near,outer->near,168,67.0,49.0,108.0,0.6428571428571429,0.42857142857142855,-0.10714285714285714
fold_04,rolling_7d,hybrid_confirmed_core_near,core->outer,168,27.0,7.0,34.0,0.20238095238095238,0.16666666666666666,-0.11904761904761904
fold_04,rolling_7d,hybrid_confirmed_core_near,outer->core,168,32.0,0.0,50.0,0.2976190476190476,0.19047619047619047,-0.19047619047619047
fold_05,rolling_7d,baseline_confirmed_structure,core->near,168,193.0,175.0,330.0,1.9642857142857142,1.0714285714285714,-0.10714285714285714
fold_05,rolling_7d,baseline_confirmed_structure,near->core,168,189.0,161.0,268.0,1.5952380952380953,0.9285714285714286,-0.16666666666666666
fold_05,rolling_7d,baseline_confirmed_structure,near->outer,168,59.0,28.0,99.0,0.5892857142857143,0.3630952380952381,-0.18452380952380953
fold_05,rolling_7d,baseline_confirmed_structure,outer->near,168,70.0,35.0,125.0,0.7440476190476191,0.4583333333333333,-0.20833333333333334
fold_05,rolling_7d,baseline_confirmed_structure,core->outer,168,31.0,7.0,42.0,0.25,0.19047619047619047,-0.14285714285714285
fold_05,rolling_7d,baseline_confirmed_structure,outer->core,168,32.0,0.0,48.0,0.2857142857142857,0.19047619047619047,-0.19047619047619047
fold_05,rolling_7d,hybrid_confirmed_core_near,core->near,168,193.0,175.0,322.0,1.9166666666666667,1.0595238095238095,-0.10714285714285714
fold_05,rolling_7d,hybrid_confirmed_core_near,near->core,168,189.0,196.0,261.0,1.5535714285714286,0.9583333333333334,0.041666666666666664
fold_05,rolling_7d,hybrid_confirmed_core_near,near->outer,168,59.0,28.0,99.0,0.5892857142857143,0.3630952380952381,-0.18452380952380953
fold_05,rolling_7d,hybrid_confirmed_core_near,outer->near,168,70.0,35.0,125.0,0.7440476190476191,0.4583333333333333,-0.20833333333333334
fold_05,rolling_7d,hybrid_confirmed_core_near,core->outer,168,31.0,7.0,42.0,0.25,0.19047619047619047,-0.14285714285714285
fold_05,rolling_7d,hybrid_confirmed_core_near,outer->core,168,32.0,0.0,48.0,0.2857142857142857,0.19047619047619047,-0.19047619047619047
fold_06,rolling_7d,baseline_confirmed_structure,core->near,168,183.0,175.0,302.0,1.7976190476190477,1.0357142857142858,-0.047619047619047616
fold_06,rolling_7d,baseline_confirmed_structure,near->core,168,179.0,175.0,234.0,1.3928571428571428,0.8928571428571429,-0.023809523809523808
fold_06,rolling_7d,baseline_confirmed_structure,near->outer,168,59.0,28.0,95.0,0.5654761904761905,0.35119047619047616,-0.18452380952380953
fold_06,rolling_7d,baseline_confirmed_structure,outer->near,168,65.0,49.0,116.0,0.6904761904761905,0.4523809523809524,-0.09523809523809523
fold_06,rolling_7d,baseline_confirmed_structure,core->outer,168,35.0,7.0,46.0,0.27380952380952384,0.21428571428571427,-0.16666666666666666
fold_06,rolling_7d,baseline_confirmed_structure,outer->core,168,33.0,0.0,51.0,0.30357142857142855,0.19642857142857142,-0.19642857142857142
fold_06,rolling_7d,hybrid_confirmed_core_near,core->near,168,183.0,168.0,299.0,1.7797619047619047,1.0178571428571428,-0.08928571428571429
