pair,hour,n_days,mean_r,std_r,q25_r,q75_r,n_X_positive
core_near,0,17,0.0,0.0,0.0,0.0,8
core_near,1,17,0.3333333333333333,0.5773502691896258,0.0,0.5,3
core_near,2,17,0.6214285714285714,0.3779999225600053,0.3333333333333333,1.0,12
core_near,3,17,0.47985347985347987,0.4237879156527948,0.0,1.0,13
core_near,4,17,0.3904761904761905,0.41576092031015,0.0,0.6666666666666667,7
core_near,5,17,0.5555555555555556,0.5270462766947299,0.0,1.0,9
core_near,6,17,0.8222222222222222,0.3115925979383129,0.75,1.0,15
core_near,7,17,0.4627450980392156,0.38727723936570163,0.0,0.6666666666666666,17
core_near,8,17,0.3577777777777778,0.40658599251839617,0.0,0.5833333333333333,15
core_near,9,17,0.5119047619047619,0.40012971034876316,0.08333333333333333,0.9166666666666666,14
core_near,10,17,0.6510416666666666,0.34455923266517585,0.5,1.0,16
core_near,11,17,0.5290178571428571,0.43973487060363103,0.0,1.0,16
core_near,12,17,0.36538461538461536,0.37659915437627184,0.0,0.5,13
core_near,13,17,0.241025641025641,0.3530695677315161,0.0,0.5,13
core_near,14,17,0.6463541666666666,0.32904137911008496,0.3333333333333333,1.0,16
core_near,15,17,0.42777777777777776,0.3045727339479854,0.29166666666666663,0.5833333333333333,15
core_near,16,17,0.2941176470588235,0.32691429689804,0.0,0.5,17
core_near,17,17,0.4861111111111111,0.43495229817015757,0.0,1.0,12
core_near,18,17,0.6820578231292517,0.2938710761146646,0.5785714285714285,0.9642857142857143,14
core_near,19,17,0.2676470588235294,0.36312066540897786,0.0,0.5,17
core_near,20,17,0.1487179487179487,0.31405808162261745,0.0,0.0,13
core_near,21,17,0.4444444444444444,0.5270462766947299,0.0,1.0,9
core_near,22,17,0.7682539682539683,0.36114163485159173,0.5833333333333333,1.0,15
core_near,23,16,0.4487179487179488,0.41602514716892186,0.0,0.6666666666666666,13
near_outer,0,17,1.0,0.0,1.0,1.0,3
near_outer,1,17,0.2857142857142857,0.4879500364742666,0.0,0.5,7
near_outer,2,17,0.0,,0.0,0.0,1
near_outer,3,17,0.8571428571428571,0.37796447300922725,1.0,1.0,7
near_outer,4,17,0.42857142857142855,0.5345224838248487,0.0,1.0,7
near_outer,5,17,0.1,0.31622776601683794,0.0,0.0,10
near_outer,6,17,0.75,0.5,0.75,1.0,4
near_outer,7,17,0.4791666666666667,0.482162898413037,0.0,1.0,12
near_outer,8,17,0.680952380952381,0.3670993118515816,0.55,1.0,7
near_outer,9,17,0.5069444444444444,0.4611940110462362,0.0,1.0,12
near_outer,10,17,0.275,0.415832498329155,0.0,0.4375,10
near_outer,11,17,0.7,0.48304589153964794,0.25,1.0,10
near_outer,12,17,0.6515151515151515,0.3905448150023919,0.5,1.0,11
near_outer,13,17,0.09090909090909091,0.1685499656158105,0.0,0.125,11
near_outer,14,17,0.4,0.5163977794943223,0.0,1.0,10
near_outer,15,17,0.4303030303030304,0.47268842109188947,0.0,1.0,11
near_outer,16,17,0.25,0.4183300132670378,0.0,0.375,6
near_outer,17,17,0.3181818181818182,0.4484822890999862,0.0,0.75,11
near_outer,18,17,0.1,0.31622776601683794,0.0,0.0,10
near_outer,19,17,0.9722222222222222,0.09622504486493764,1.0,1.0,12
near_outer,20,17,0.7142857142857143,0.48795003647426666,0.5,1.0,7
near_outer,21,17,0.0,0.0,0.0,0.0,3
near_outer,22,17,0.0,0.0,0.0,0.0,2
near_outer,23,16,0.8333333333333334,0.408248290463863,1.0,1.0,6
core_outer,0,17,1.0,,1.0,1.0,1
core_outer,1,17,0.0,0.0,0.0,0.0,3
core_outer,2,17,0.16666666666666666,0.408248290463863,0.0,0.0,6
core_outer,3,17,0.75,0.4183300132670378,0.625,1.0,6
core_outer,4,17,1.0,,1.0,1.0,1
core_outer,5,17,0.5,0.5477225575051661,0.0,1.0,6
core_outer,6,17,0.7708333333333333,0.34141977142142826,0.7291666666666666,1.0,8
core_outer,7,17,0.9375,0.1767766952966369,1.0,1.0,8
core_outer,8,17,0.7777777777777778,0.44095855184409843,1.0,1.0,9
core_outer,9,17,0.0,0.0,0.0,0.0,3
core_outer,10,17,0.36666666666666664,0.48304589153964794,0.0,0.9166666666666666,10
core_outer,11,17,0.6666666666666666,0.4330127018922193,0.5,1.0,9
core_outer,12,17,0.625,0.5175491695067657,0.0,1.0,8
core_outer,13,17,0.5,0.5773502691896257,0.0,1.0,4
core_outer,14,17,0.5,0.5773502691896257,0.0,1.0,4
core_outer,15,17,0.9,0.22360679774997902,1.0,1.0,5
core_outer,16,17,0.0,0.0,0.0,0.0,3
core_outer,17,17,0.5,0.7071067811865476,0.25,0.75,2
core_outer,18,17,0.06666666666666667,0.14907119849998599,0.0,0.0,5
core_outer,19,17,0.6875,0.45806269065645216,0.375,1.0,8
core_outer,20,17,1.0,,1.0,1.0,1
core_outer,21,17,0.0,0.0,0.0,0.0,2
core_outer,22,17,0.3333333333333333,0.5163977794943223,0.0,0.75,6
core_outer,23,16,0.5,0.5477225575051661,0.0,1.0,6
