date,hour,hour_of_day,dayofweek,day_type,audit_quality_regime,period,pair,y_ab,y_ba,X,r,F,T_daily,p
2018-01-02,2018-01-02 19:00:00,19,1,weekday,normal,pre_outage,core_near,0,3,3,0.0,-3,46,0.06521739130434782
2018-01-02,2018-01-02 20:00:00,20,1,weekday,normal,pre_outage,core_near,0,0,0,,0,46,0.0
2018-01-02,2018-01-02 21:00:00,21,1,weekday,normal,pre_outage,core_near,0,2,2,0.0,-2,46,0.043478260869565216
2018-01-02,2018-01-02 22:00:00,22,1,weekday,normal,pre_outage,core_near,1,0,1,1.0,1,46,0.021739130434782608
2018-01-02,2018-01-02 23:00:00,23,1,weekday,normal,pre_outage,core_near,0,0,0,,0,46,0.0
2018-01-03,2018-01-03 00:00:00,0,2,weekday,normal,pre_outage,core_near,0,0,0,,0,66,0.0
2018-01-03,2018-01-03 01:00:00,1,2,weekday,normal,pre_outage,core_near,2,0,2,1.0,2,66,0.030303030303030304
2018-01-03,2018-01-03 02:00:00,2,2,weekday,normal,pre_outage,core_near,3,2,5,0.6,1,66,0.07575757575757576
2018-01-03,2018-01-03 03:00:00,3,2,weekday,normal,pre_outage,core_near,0,2,2,0.0,-2,66,0.030303030303030304
2018-01-03,2018-01-03 04:00:00,4,2,weekday,normal,pre_outage,core_near,0,0,0,,0,66,0.0
2018-01-03,2018-01-03 05:00:00,5,2,weekday,normal,pre_outage,core_near,0,0,0,,0,66,0.0
2018-01-03,2018-01-03 06:00:00,6,2,weekday,normal,pre_outage,core_near,5,1,6,0.8333333333333334,4,66,0.09090909090909091
2018-01-03,2018-01-03 07:00:00,7,2,weekday,normal,pre_outage,core_near,2,1,3,0.6666666666666666,1,66,0.045454545454545456
2018-01-03,2018-01-03 08:00:00,8,2,weekday,normal,pre_outage,core_near,1,4,5,0.2,-3,66,0.07575757575757576
2018-01-03,2018-01-03 09:00:00,9,2,weekday,normal,pre_outage,core_near,2,0,2,1.0,2,66,0.030303030303030304
2018-01-03,2018-01-03 10:00:00,10,2,weekday,normal,pre_outage,core_near,2,0,2,1.0,2,66,0.030303030303030304
2018-01-03,2018-01-03 11:00:00,11,2,weekday,normal,pre_outage,core_near,1,0,1,1.0,1,66,0.015151515151515152
2018-01-03,2018-01-03 12:00:00,12,2,weekday,normal,pre_outage,core_near,1,0,1,1.0,1,66,0.015151515151515152
2018-01-03,2018-01-03 13:00:00,13,2,weekday,normal,pre_outage,core_near,1,2,3,0.3333333333333333,-1,66,0.045454545454545456
2018-01-03,2018-01-03 14:00:00,14,2,weekday,normal,pre_outage,core_near,1,2,3,0.3333333333333333,-1,66,0.045454545454545456
2018-01-03,2018-01-03 15:00:00,15,2,weekday,normal,pre_outage,core_near,2,3,5,0.4,-1,66,0.07575757575757576
2018-01-03,2018-01-03 16:00:00,16,2,weekday,normal,pre_outage,core_near,1,3,4,0.25,-2,66,0.06060606060606061
2018-01-03,2018-01-03 17:00:00,17,2,weekday,normal,pre_outage,core_near,0,0,0,,0,66,0.0
2018-01-03,2018-01-03 18:00:00,18,2,weekday,normal,pre_outage,core_near,4,0,4,1.0,4,66,0.06060606060606061
2018-01-03,2018-01-03 19:00:00,19,2,weekday,normal,pre_outage,core_near,0,4,4,0.0,-4,66,0.06060606060606061
2018-01-03,2018-01-03 20:00:00,20,2,weekday,normal,pre_outage,core_near,0,1,1,0.0,-1,66,0.015151515151515152
2018-01-03,2018-01-03 21:00:00,21,2,weekday,normal,pre_outage,core_near,0,2,2,0.0,-2,66,0.030303030303030304
2018-01-03,2018-01-03 22:00:00,22,2,weekday,normal,pre_outage,core_near,6,1,7,0.8571428571428571,5,66,0.10606060606060606
2018-01-03,2018-01-03 23:00:00,23,2,weekday,normal,pre_outage,core_near,0,4,4,0.0,-4,66,0.06060606060606061
2018-01-04,2018-01-04 00:00:00,0,3,weekday,normal,pre_outage,core_near,0,0,0,,0,54,0.0
2018-01-04,2018-01-04 01:00:00,1,3,weekday,normal,pre_outage,core_near,0,0,0,,0,54,0.0
2018-01-04,2018-01-04 02:00:00,2,3,weekday,normal,pre_outage,core_near,2,1,3,0.6666666666666666,1,54,0.05555555555555555
2018-01-04,2018-01-04 03:00:00,3,3,weekday,normal,pre_outage,core_near,2,0,2,1.0,2,54,0.037037037037037035
2018-01-04,2018-01-04 04:00:00,4,3,weekday,normal,pre_outage,core_near,0,0,0,,0,54,0.0
2018-01-04,2018-01-04 05:00:00,5,3,weekday,normal,pre_outage,core_near,0,5,5,0.0,-5,54,0.09259259259259259
2018-01-04,2018-01-04 06:00:00,6,3,weekday,normal,pre_outage,core_near,2,0,2,1.0,2,54,0.037037037037037035
2018-01-04,2018-01-04 07:00:00,7,3,weekday,normal,pre_outage,core_near,2,2,4,0.5,0,54,0.07407407407407407
2018-01-04,2018-01-04 08:00:00,8,3,weekday,normal,pre_outage,core_near,1,1,2,0.5,0,54,0.037037037037037035
2018-01-04,2018-01-04 09:00:00,9,3,weekday,normal,pre_outage,core_near,2,0,2,1.0,2,54,0.037037037037037035
2018-01-04,2018-01-04 10:00:00,10,3,weekday,normal,pre_outage,core_near,2,2,4,0.5,0,54,0.07407407407407407
2018-01-04,2018-01-04 11:00:00,11,3,weekday,normal,pre_outage,core_near,0,6,6,0.0,-6,54,0.1111111111111111
2018-01-04,2018-01-04 12:00:00,12,3,weekday,normal,pre_outage,core_near,0,0,0,,0,54,0.0
2018-01-04,2018-01-04 13:00:00,13,3,weekday,normal,pre_outage,core_near,3,0,3,1.0,3,54,0.05555555555555555
2018-01-04,2018-01-04 14:00:00,14,3,weekday,normal,pre_outage,core_near,1,3,4,0.25,-2,54,0.07407407407407407
2018-01-04,2018-01-04 15:00:00,15,3,weekday,normal,pre_outage,core_near,2,1,3,0.6666666666666666,1,54,0.05555555555555555
2018-01-04,2018-01-04 16:00:00,16,3,weekday,normal,pre_outage,core_near,0,2,2,0.0,-2,54,0.037037037037037035
2018-01-04,2018-01-04 17:00:00,17,3,weekday,normal,pre_outage,core_near,1,0,1,1.0,1,54,0.018518518518518517
2018-01-04,2018-01-04 18:00:00,18,3,weekday,normal,pre_outage,core_near,2,1,3,0.6666666666666666,1,54,0.05555555555555555
2018-01-04,2018-01-04 19:00:00,19,3,weekday,normal,pre_outage,core_near,0,2,2,0.0,-2,54,0.037037037037037035
2018-01-04,2018-01-04 20:00:00,20,3,weekday,normal,pre_outage,core_near,0,0,0,,0,54,0.0
2018-01-04,2018-01-04 21:00:00,21,3,weekday,normal,pre_outage,core_near,0,0,0,,0,54,0.0
2018-01-04,2018-01-04 22:00:00,22,3,weekday,normal,pre_outage,core_near,2,0,2,1.0,2,54,0.037037037037037035
2018-01-04,2018-01-04 23:00:00,23,3,weekday,normal,pre_outage,core_near,2,2,4,0.5,0,54,0.07407407407407407
2018-01-05,2018-01-05 00:00:00,0,4,weekday,normal,pre_outage,core_near,0,2,2,0.0,-2,52,0.038461538461538464
2018-01-05,2018-01-05 01:00:00,1,4,weekday,normal,pre_outage,core_near,0,0,0,,0,52,0.0
2018-01-05,2018-01-05 02:00:00,2,4,weekday,normal,pre_outage,core_near,0,1,1,0.0,-1,52,0.019230769230769232
2018-01-05,2018-01-05 03:00:00,3,4,weekday,normal,pre_outage,core_near,0,0,0,,0,52,0.0
2018-01-05,2018-01-05 04:00:00,4,4,weekday,normal,pre_outage,core_near,0,0,0,,0,52,0.0
2018-01-05,2018-01-05 05:00:00,5,4,weekday,normal,pre_outage,core_near,1,0,1,1.0,1,52,0.019230769230769232
2018-01-05,2018-01-05 06:00:00,6,4,weekday,normal,pre_outage,core_near,2,0,2,1.0,2,52,0.038461538461538464
2018-01-05,2018-01-05 07:00:00,7,4,weekday,normal,pre_outage,core_near,2,2,4,0.5,0,52,0.07692307692307693
2018-01-05,2018-01-05 08:00:00,8,4,weekday,normal,pre_outage,core_near,0,3,3,0.0,-3,52,0.057692307692307696
2018-01-05,2018-01-05 09:00:00,9,4,weekday,normal,pre_outage,core_near,1,2,3,0.3333333333333333,-1,52,0.057692307692307696
2018-01-05,2018-01-05 10:00:00,10,4,weekday,normal,pre_outage,core_near,6,0,6,1.0,6,52,0.11538461538461539
2018-01-05,2018-01-05 11:00:00,11,4,weekday,normal,pre_outage,core_near,0,4,4,0.0,-4,52,0.07692307692307693
2018-01-05,2018-01-05 12:00:00,12,4,weekday,normal,pre_outage,core_near,1,1,2,0.5,0,52,0.038461538461538464
2018-01-05,2018-01-05 13:00:00,13,4,weekday,normal,pre_outage,core_near,2,2,4,0.5,0,52,0.07692307692307693
2018-01-05,2018-01-05 14:00:00,14,4,weekday,normal,pre_outage,core_near,1,1,2,0.5,0,52,0.038461538461538464
2018-01-05,2018-01-05 15:00:00,15,4,weekday,normal,pre_outage,core_near,2,2,4,0.5,0,52,0.07692307692307693
2018-01-05,2018-01-05 16:00:00,16,4,weekday,normal,pre_outage,core_near,0,1,1,0.0,-1,52,0.019230769230769232
2018-01-05,2018-01-05 17:00:00,17,4,weekday,normal,pre_outage,core_near,2,0,2,1.0,2,52,0.038461538461538464
