pair,daily_cv_T,daily_cv_ab,daily_cv_ba,hourshare_pearson_X_normal,hourshare_pearson_ab_normal,hourshare_pearson_ba_normal,dirratio_hour_std_normal,dirratio_global
core_near,0.21371291973302584,0.2236930713553047,0.22661071252332193,0.1909636081947701,0.17603804221371963,0.09090856848995166,0.37550988583095196,0.4964200477326969
near_outer,0.3260227401483049,0.39186056178788864,0.35140573464040714,0.12402461279049322,0.11625359879881475,0.13690858879754242,0.35433233877809484,0.466824644549763
core_outer,0.3570427455806748,0.4554038445485974,0.37403488996514705,0.08715715926940479,0.12110574248329489,0.022803334272067984,0.35827295172421747,0.5367965367965368
