pair,dir_ab,dir_ba,zero_rate_ab,zero_rate_ba,zero_rate_X,zero_rate_reduction_pp
core_near,core->near,near->core,0.5113043478260869,0.4469565217391304,0.24869565217391304,19.82608695652174
near_outer,near->outer,outer->near,0.7634782608695653,0.7234782608695652,0.5408695652173913,18.260869565217398
core_outer,core->outer,outer->core,0.831304347826087,0.8504347826086956,0.7043478260869566,12.695652173913041
