component,mean,std,cv,lag1_corr,n_normal
C,260.52941176470586,26.814449572615747,0.10292292678583602,-0.030004169906841228,17
M,1.3462974973045427,0.04362206139153155,0.032401502252561866,-0.3285124660013587,17
Q,0.8996487831521717,0.06869107637452382,0.07635321434420816,0.5370838020489422,17
Q12,0.9361479592284487,0.04955416805759769,0.05293411962190152,0.23556800609879072,17
Q23,0.9484697511163968,0.05832596496050399,0.06149480770667845,0.38398067347179277,17
stable,307.88235294117646,54.90660519571072,0.17833631798377575,0.3056980991741718,17
borderline,16.41176470588235,9.45422407927676,0.5760638327874729,0.46614445317157316,17
near_miss,12.294117647058824,9.570558407705064,0.7784664733540004,0.6900332704377761,17
