group,hour,region,zone,correction,base,purpose,decode
G1,12,near,近港区,+1,1,probe R_G1,R_G1 = (A0_SSE + 7*1 - A_next) / 2
G2,14,outer,外围区,+256,256,probe R_G2,R_G2 = (A0_SSE + 7*256^2 - A_next - (7-2*R_G1)) / (2*256)
