date,hour,region,raw_region_vessel_count,active_region_vessel_count,active_vessels_ge2,active_vessels_ge3,active_vessels_ge4,a_label,active_ais_record_count,median_active_records_per_vessel,china_coastal_active_record_count,e_globe_daily_active_record_count,f_globe_dynamic_active_record_count,active_source_count,ge3_rate_among_active
2018-01-01,21,core,16,6,5,5,5,5,309,39.0,296,13,0,2,0.8333333333333334
2018-01-01,21,near,26,5,5,5,5,5,241,49.0,232,9,0,2,1.0
2018-01-01,21,outer,5,2,1,1,1,1,296,148.0,282,14,0,2,0.5
2018-01-01,22,core,17,6,6,6,6,6,458,90.5,436,22,0,2,1.0
2018-01-01,22,near,23,3,3,3,3,3,253,75.0,239,14,0,2,1.0
2018-01-01,22,outer,4,1,1,1,1,1,64,64.0,60,4,0,2,1.0
2018-01-01,23,core,16,15,15,15,15,15,1549,76.0,1479,70,0,2,1.0
2018-01-01,23,near,24,5,4,4,4,4,431,58.0,411,20,0,2,0.8
2018-01-01,23,outer,6,2,2,2,2,2,229,114.5,222,7,0,2,1.0
2018-01-02,0,core,15,9,8,8,8,8,560,80.0,538,22,0,2,0.8888888888888888
2018-01-02,0,near,22,1,1,1,1,1,15,15.0,15,0,0,1,1.0
2018-01-02,0,outer,7,3,3,3,3,3,851,137.0,817,34,0,2,1.0
2018-01-02,1,core,14,0,0,0,0,0,0,0.0,0,0,0,0,0.0
2018-01-02,1,near,21,0,0,0,0,0,0,0.0,0,0,0,0,0.0
2018-01-02,1,outer,7,3,3,3,3,3,413,106.0,394,19,0,2,1.0
2018-01-02,2,core,15,1,1,1,1,1,173,173.0,167,6,0,2,1.0
2018-01-02,2,near,23,3,3,3,3,3,109,34.0,101,8,0,2,1.0
2018-01-02,2,outer,6,1,1,1,1,1,275,275.0,263,12,0,2,1.0
2018-01-02,3,core,16,13,13,13,13,13,1702,122.0,1623,79,0,2,1.0
2018-01-02,3,near,28,6,6,6,6,6,307,33.5,294,13,0,2,1.0
2018-01-02,3,outer,6,1,1,0,0,0,2,2.0,2,0,0,1,0.0
2018-01-02,4,core,15,8,8,8,8,8,355,39.5,334,21,0,2,1.0
2018-01-02,4,near,26,2,2,2,2,2,158,79.0,154,4,0,2,1.0
2018-01-02,4,outer,6,2,2,2,2,2,421,210.5,403,18,0,2,1.0
2018-01-02,5,core,16,6,6,6,6,6,368,30.5,351,17,0,2,1.0
2018-01-02,5,near,24,1,1,1,1,1,181,181.0,174,7,0,2,1.0
2018-01-02,5,outer,6,3,3,3,3,3,406,136.0,387,19,0,2,1.0
2018-01-02,6,core,18,13,13,13,13,13,979,71.0,939,40,0,2,1.0
2018-01-02,6,near,30,7,7,7,7,7,520,96.0,495,25,0,2,1.0
