block,date,hour,region,residual,stock_dev,a_true,bl_pred,stock_true,stock_mean
block_pre_normal,2018-01-07,18,near,-1.0,-1.3333333333333321,5.0,6.0,27.0,28.333333333333332
block_pre_normal,2018-01-07,18,outer,0.0,2.833333333333333,1.0,1.0,7.0,4.166666666666667
block_pre_normal,2018-01-07,19,core,-1.0,0.16666666666666607,12.0,13.0,11.0,10.833333333333334
block_pre_normal,2018-01-07,19,near,-1.0,-3.833333333333332,7.0,8.0,27.0,30.833333333333332
block_pre_normal,2018-01-07,19,outer,0.0,3.1666666666666665,1.0,1.0,7.0,3.8333333333333335
block_pre_normal,2018-01-07,20,core,1.0,-0.5,6.0,5.0,13.0,13.5
block_pre_normal,2018-01-07,20,near,-1.0,-3.333333333333332,3.0,4.0,23.0,26.333333333333332
block_pre_normal,2018-01-07,20,outer,0.0,2.833333333333333,2.0,2.0,9.0,6.166666666666667
block_pre_normal,2018-01-07,21,core,1.0,1.666666666666666,5.0,4.0,16.0,14.333333333333334
block_pre_normal,2018-01-07,21,near,0.0,-5.166666666666668,3.0,3.0,20.0,25.166666666666668
block_pre_normal,2018-01-07,21,outer,-1.0,2.5,1.0,2.0,8.0,5.5
block_pre_normal,2018-01-07,22,core,-1.0,-0.3333333333333339,7.0,8.0,15.0,15.333333333333334
block_pre_normal,2018-01-07,22,near,1.0,-2.666666666666668,4.0,3.0,22.0,24.666666666666668
block_pre_normal,2018-01-07,22,outer,-1.0,2.1666666666666665,0.0,1.0,6.0,3.8333333333333335
block_pre_normal,2018-01-07,23,core,-6.0,-2.333333333333334,6.0,12.0,11.0,13.333333333333334
block_pre_normal,2018-01-07,23,near,1.0,0.33333333333333215,6.0,5.0,27.0,26.666666666666668
block_pre_normal,2018-01-07,23,outer,-1.0,2.5,0.0,1.0,7.0,4.5
block_target_like,2018-01-07,0,core,8.0,0.0,12.0,4.0,14.0,14.0
block_target_like,2018-01-07,0,near,1.0,0.33333333333333215,2.0,1.0,24.0,23.666666666666668
block_target_like,2018-01-07,0,outer,3.0,3.666666666666667,5.0,2.0,9.0,5.333333333333333
block_target_like,2018-01-07,1,core,-1.0,-0.3333333333333339,1.0,2.0,14.0,14.333333333333334
block_target_like,2018-01-07,1,near,1.0,0.5,1.0,0.0,24.0,23.5
block_target_like,2018-01-07,1,outer,2.0,2.833333333333333,4.0,2.0,8.0,5.166666666666667
block_target_like,2018-01-07,2,core,6.0,-0.16666666666666607,12.0,6.0,14.0,14.166666666666666
block_target_like,2018-01-07,2,near,0.0,0.33333333333333215,2.0,2.0,25.0,24.666666666666668
block_target_like,2018-01-07,2,outer,-1.0,0.666666666666667,0.0,1.0,5.0,4.333333333333333
block_target_like,2018-01-07,3,core,1.0,-4.333333333333334,13.0,12.0,10.0,14.333333333333334
block_target_like,2018-01-07,3,near,5.0,5.0,10.0,5.0,30.0,25.0
block_target_like,2018-01-07,3,outer,-1.0,0.666666666666667,0.0,1.0,5.0,4.333333333333333
block_target_like,2018-01-07,4,core,2.0,1.166666666666666,8.0,6.0,15.0,13.833333333333334
block_target_like,2018-01-07,4,near,6.0,0.33333333333333215,8.0,2.0,25.0,24.666666666666668
block_target_like,2018-01-07,4,outer,-2.0,-1.0,0.0,2.0,4.0,5.0
block_target_like,2018-01-07,5,core,0.0,0.5,3.0,3.0,15.0,14.5
block_target_like,2018-01-07,5,near,-1.0,1.0,1.0,2.0,25.0,24.0
block_target_like,2018-01-07,5,outer,-1.0,-0.666666666666667,1.0,2.0,4.0,4.666666666666667
block_target_like,2018-01-07,6,core,-3.0,-1.833333333333334,9.0,12.0,13.0,14.833333333333334
block_target_like,2018-01-07,6,near,0.0,1.8333333333333321,4.0,4.0,27.0,25.166666666666668
block_target_like,2018-01-07,6,outer,0.0,0.6666666666666665,1.0,1.0,4.0,3.3333333333333335
block_target_like,2018-01-07,7,core,-1.0,3.666666666666666,11.0,12.0,14.0,10.333333333333334
block_target_like,2018-01-07,7,near,-7.0,-2.0,2.0,9.0,27.0,29.0
block_target_like,2018-01-07,7,outer,-2.0,0.33333333333333304,1.0,3.0,5.0,4.666666666666667
block_target_like,2018-01-07,8,core,2.0,1.5,9.0,7.0,13.0,11.5
block_target_like,2018-01-07,8,near,-3.0,-1.5,4.0,7.0,26.0,27.5
block_target_like,2018-01-07,8,outer,-1.0,1.5,2.0,3.0,7.0,5.5
block_target_like,2018-01-07,9,core,2.0,5.0,6.0,4.0,17.0,12.0
block_target_like,2018-01-07,9,near,2.0,-5.333333333333332,7.0,5.0,22.0,27.333333333333332
block_target_like,2018-01-07,9,outer,0.0,0.5,3.0,3.0,7.0,6.5
block_target_like,2018-01-07,10,core,2.0,4.333333333333334,11.0,9.0,16.0,11.666666666666666
block_target_like,2018-01-07,10,near,-4.0,-4.333333333333332,3.0,7.0,23.0,27.333333333333332
block_target_like,2018-01-07,10,outer,1.0,0.5,4.0,3.0,7.0,6.5
block_target_like,2018-01-07,11,core,0.0,6.333333333333334,10.0,10.0,16.0,9.666666666666666
block_target_like,2018-01-07,11,near,-7.0,-6.666666666666668,3.0,10.0,24.0,30.666666666666668
block_target_like,2018-01-07,11,outer,1.0,1.666666666666667,3.0,2.0,7.0,5.333333333333333
block_target_like,2018-01-07,12,core,6.0,2.833333333333334,12.0,6.0,14.0,11.166666666666666
block_target_like,2018-01-07,12,near,5.0,-0.8333333333333321,9.0,4.0,26.0,26.833333333333332
block_target_like,2018-01-07,12,outer,-3.0,0.666666666666667,2.0,5.0,8.0,7.333333333333333
block_target_like,2018-01-07,13,core,6.0,0.0,11.0,5.0,12.0,12.0
block_target_like,2018-01-07,13,near,5.0,0.16666666666666785,9.0,4.0,27.0,26.833333333333332
block_target_like,2018-01-07,13,outer,1.0,2.166666666666667,4.0,3.0,9.0,6.833333333333333
block_target_like,2018-01-07,14,core,-2.0,2.666666666666666,6.0,8.0,15.0,12.333333333333334
block_target_like,2018-01-07,14,near,-3.0,-4.666666666666668,4.0,7.0,23.0,27.666666666666668
block_target_like,2018-01-07,14,outer,3.0,2.833333333333333,5.0,2.0,8.0,5.166666666666667
block_target_like,2018-01-07,15,core,-6.0,2.166666666666666,4.0,10.0,14.0,11.833333333333334
block_target_like,2018-01-07,15,near,-7.0,-6.5,1.0,8.0,22.0,28.5
block_target_like,2018-01-07,15,outer,1.0,3.333333333333333,3.0,2.0,9.0,5.666666666666667
block_target_like,2018-01-07,16,core,6.0,0.8333333333333339,13.0,7.0,13.0,12.166666666666666
block_target_like,2018-01-07,16,near,4.0,-4.333333333333332,8.0,4.0,24.0,28.333333333333332
block_target_like,2018-01-07,16,outer,1.0,2.833333333333333,3.0,2.0,8.0,5.166666666666667
block_target_like,2018-01-07,17,core,3.0,-2.833333333333334,7.0,4.0,11.0,13.833333333333334
block_target_like,2018-01-07,17,near,6.0,-2.5,7.0,1.0,25.0,27.5
block_target_like,2018-01-07,17,outer,1.0,4.333333333333333,2.0,1.0,9.0,4.666666666666667
block_target_like,2018-01-07,18,core,-1.0,-1.833333333333334,8.0,9.0,11.0,12.833333333333334
block_target_like,2018-01-07,18,near,-1.0,-1.3333333333333321,5.0,6.0,27.0,28.333333333333332
block_target_like,2018-01-07,18,outer,0.0,2.833333333333333,1.0,1.0,7.0,4.166666666666667
block_target_like,2018-01-07,19,core,-1.0,0.16666666666666607,12.0,13.0,11.0,10.833333333333334
block_target_like,2018-01-07,19,near,-1.0,-3.833333333333332,7.0,8.0,27.0,30.833333333333332
block_target_like,2018-01-07,19,outer,0.0,3.1666666666666665,1.0,1.0,7.0,3.8333333333333335
block_target_like,2018-01-07,20,core,1.0,-0.5,6.0,5.0,13.0,13.5
block_target_like,2018-01-07,20,near,-1.0,-3.333333333333332,3.0,4.0,23.0,26.333333333333332
block_target_like,2018-01-07,20,outer,0.0,2.833333333333333,2.0,2.0,9.0,6.166666666666667
block_target_like,2018-01-07,21,core,1.0,1.666666666666666,5.0,4.0,16.0,14.333333333333334
block_target_like,2018-01-07,21,near,0.0,-5.166666666666668,3.0,3.0,20.0,25.166666666666668
block_target_like,2018-01-07,21,outer,-1.0,2.5,1.0,2.0,8.0,5.5
block_target_like,2018-01-07,22,core,-1.0,-0.3333333333333339,7.0,8.0,15.0,15.333333333333334
block_target_like,2018-01-07,22,near,1.0,-2.666666666666668,4.0,3.0,22.0,24.666666666666668
block_target_like,2018-01-07,22,outer,-1.0,2.1666666666666665,0.0,1.0,6.0,3.8333333333333335
block_target_like,2018-01-07,23,core,-6.0,-2.333333333333334,6.0,12.0,11.0,13.333333333333334
block_target_like,2018-01-07,23,near,1.0,0.33333333333333215,6.0,5.0,27.0,26.666666666666668
block_target_like,2018-01-07,23,outer,-1.0,2.5,0.0,1.0,7.0,4.5
block_target_like,2018-01-08,0,core,-3.0,-1.0,2.0,5.0,13.0,14.0
block_target_like,2018-01-08,0,near,0.0,1.2857142857142847,2.0,2.0,25.0,23.714285714285715
block_target_like,2018-01-08,0,outer,-1.0,1.1428571428571432,1.0,2.0,7.0,5.857142857142857
block_target_like,2018-01-08,1,core,0.0,-1.2857142857142865,2.0,2.0,13.0,14.285714285714286
block_target_like,2018-01-08,1,near,-1.0,2.428571428571427,0.0,1.0,26.0,23.571428571428573
block_target_like,2018-01-08,1,outer,-1.0,1.4285714285714288,1.0,2.0,7.0,5.571428571428571
block_target_like,2018-01-08,2,core,1.0,-1.1428571428571423,6.0,5.0,13.0,14.142857142857142
block_target_like,2018-01-08,2,near,2.0,0.2857142857142847,4.0,2.0,25.0,24.714285714285715
block_target_like,2018-01-08,2,outer,-1.0,2.571428571428571,0.0,1.0,7.0,4.428571428571429
block_target_like,2018-01-08,3,core,-2.0,0.2857142857142865,9.0,11.0,14.0,13.714285714285714
block_target_like,2018-01-08,3,near,1.0,-0.7142857142857153,6.0,5.0,25.0,25.714285714285715
block_target_like,2018-01-08,3,outer,1.0,3.571428571428571,2.0,1.0,8.0,4.428571428571429
block_target_like,2018-01-08,4,core,-2.0,0.0,4.0,6.0,14.0,14.0
block_target_like,2018-01-08,4,near,-1.0,0.2857142857142847,2.0,3.0,25.0,24.714285714285715
block_target_like,2018-01-08,4,outer,0.0,4.142857142857143,2.0,2.0,9.0,4.857142857142857
block_target_like,2018-01-08,5,core,-1.0,0.4285714285714288,3.0,4.0,15.0,14.571428571428571
block_target_like,2018-01-08,5,near,2.0,1.8571428571428577,4.0,2.0,26.0,24.142857142857142
block_target_like,2018-01-08,5,outer,-1.0,2.428571428571429,1.0,2.0,7.0,4.571428571428571
block_target_like,2018-01-08,6,core,-4.0,-0.5714285714285712,8.0,12.0,14.0,14.571428571428571
block_target_like,2018-01-08,6,near,-2.0,3.571428571428573,3.0,5.0,29.0,25.428571428571427
block_target_like,2018-01-08,6,outer,-1.0,0.5714285714285716,0.0,1.0,4.0,3.4285714285714284
block_target_like,2018-01-08,7,core,4.0,1.1428571428571423,15.0,11.0,12.0,10.857142857142858
block_target_like,2018-01-08,7,near,-2.0,2.2857142857142847,6.0,8.0,31.0,28.714285714285715
block_target_like,2018-01-08,7,outer,-2.0,0.2857142857142856,0.0,2.0,5.0,4.714285714285714
block_target_like,2018-01-08,8,core,2.0,-0.7142857142857135,9.0,7.0,11.0,11.714285714285714
block_target_like,2018-01-08,8,near,-3.0,3.7142857142857153,4.0,7.0,31.0,27.285714285714285
block_target_like,2018-01-08,8,outer,0.0,1.2857142857142856,2.0,2.0,7.0,5.714285714285714
block_target_like,2018-01-08,9,core,-1.0,-1.7142857142857135,3.0,4.0,11.0,12.714285714285714
block_target_like,2018-01-08,9,near,0.0,4.428571428571427,4.0,4.0,31.0,26.571428571428573
block_target_like,2018-01-08,9,outer,1.0,3.428571428571429,4.0,3.0,10.0,6.571428571428571
block_target_like,2018-01-08,10,core,-1.0,-1.2857142857142865,8.0,9.0,11.0,12.285714285714286
block_target_like,2018-01-08,10,near,0.0,4.285714285714285,7.0,7.0,31.0,26.714285714285715
block_target_like,2018-01-08,10,outer,0.0,1.4285714285714288,3.0,3.0,8.0,6.571428571428571
block_target_like,2018-01-08,11,core,3.0,6.428571428571429,14.0,11.0,17.0,10.571428571428571
block_target_like,2018-01-08,11,near,1.0,-2.7142857142857153,10.0,9.0,27.0,29.714285714285715
block_target_like,2018-01-08,11,outer,-1.0,1.4285714285714288,1.0,2.0,7.0,5.571428571428571
block_target_like,2018-01-08,12,core,1.0,3.428571428571429,8.0,7.0,15.0,11.571428571428571
block_target_like,2018-01-08,12,near,-2.0,0.2857142857142847,2.0,4.0,27.0,26.714285714285715
block_target_like,2018-01-08,12,outer,0.0,-0.4285714285714288,4.0,4.0,7.0,7.428571428571429
block_target_like,2018-01-08,13,core,-3.0,3.0,2.0,5.0,15.0,12.0
block_target_like,2018-01-08,13,near,-2.0,-0.8571428571428577,3.0,5.0,26.0,26.857142857142858
block_target_like,2018-01-08,13,outer,1.0,1.8571428571428568,5.0,4.0,9.0,7.142857142857143
block_target_like,2018-01-08,14,core,1.0,2.2857142857142865,9.0,8.0,15.0,12.714285714285714
block_target_like,2018-01-08,14,near,-1.0,0.0,6.0,7.0,27.0,27.0
block_target_like,2018-01-08,14,outer,2.0,1.4285714285714288,4.0,2.0,7.0,5.571428571428571
block_target_like,2018-01-08,15,core,2.0,2.8571428571428577,12.0,10.0,15.0,12.142857142857142
block_target_like,2018-01-08,15,near,0.0,-0.571428571428573,8.0,8.0,27.0,27.571428571428573
block_target_like,2018-01-08,15,outer,-2.0,-1.1428571428571432,0.0,2.0,5.0,6.142857142857143
block_target_like,2018-01-08,16,core,0.0,-0.2857142857142865,9.0,9.0,12.0,12.285714285714286
block_target_like,2018-01-08,16,near,1.0,3.2857142857142847,6.0,5.0,31.0,27.714285714285715
block_target_like,2018-01-08,16,outer,-1.0,-0.5714285714285712,1.0,2.0,5.0,5.571428571428571
block_target_like,2018-01-08,17,core,1.0,0.5714285714285712,5.0,4.0,14.0,13.428571428571429
block_target_like,2018-01-08,17,near,0.0,-0.14285714285714235,2.0,2.0,27.0,27.142857142857142
block_target_like,2018-01-08,17,outer,1.0,1.7142857142857144,2.0,1.0,7.0,5.285714285714286
block_target_like,2018-01-08,18,core,-7.0,1.4285714285714288,2.0,9.0,14.0,12.571428571428571
block_target_like,2018-01-08,18,near,-6.0,-0.14285714285714235,0.0,6.0,28.0,28.142857142857142
block_target_like,2018-01-08,18,outer,1.0,2.428571428571429,2.0,1.0,7.0,4.571428571428571
block_target_like,2018-01-08,19,core,-4.0,2.1428571428571423,9.0,13.0,13.0,10.857142857142858
block_target_like,2018-01-08,19,near,-5.0,-1.2857142857142847,4.0,9.0,29.0,30.285714285714285
block_target_like,2018-01-08,19,outer,-1.0,-0.2857142857142856,0.0,1.0,4.0,4.285714285714286
block_target_like,2018-01-08,20,core,6.0,-0.4285714285714288,11.0,5.0,13.0,13.428571428571429
block_target_like,2018-01-08,20,near,4.0,5.142857142857142,7.0,3.0,31.0,25.857142857142858
block_target_like,2018-01-08,20,outer,-1.0,-2.571428571428571,1.0,2.0,4.0,6.571428571428571
block_target_like,2018-01-08,21,core,0.0,-0.5714285714285712,4.0,4.0,14.0,14.571428571428571
block_target_like,2018-01-08,21,near,1.0,3.571428571428573,4.0,3.0,28.0,24.428571428571427
block_target_like,2018-01-08,21,outer,-1.0,-0.8571428571428568,1.0,2.0,5.0,5.857142857142857
block_target_like,2018-01-08,22,core,-8.0,-1.2857142857142865,0.0,8.0,14.0,15.285714285714286
block_target_like,2018-01-08,22,near,-3.0,3.7142857142857153,0.0,3.0,28.0,24.285714285714285
block_target_like,2018-01-08,22,outer,0.0,1.8571428571428568,1.0,1.0,6.0,4.142857142857143
block_target_like,2018-01-08,23,core,0.0,1.0,10.0,10.0,14.0,13.0
block_target_like,2018-01-08,23,near,1.0,1.2857142857142847,6.0,5.0,28.0,26.714285714285715
block_target_like,2018-01-08,23,outer,-1.0,0.14285714285714324,0.0,1.0,5.0,4.857142857142857
block_target_like,2018-01-09,0,core,6.0,-2.875,10.0,4.0,11.0,13.875
block_target_like,2018-01-09,0,near,6.0,8.125,8.0,2.0,32.0,23.875
block_target_like,2018-01-09,0,outer,-2.0,-2.0,0.0,2.0,4.0,6.0
block_target_like,2018-01-09,1,core,8.0,-0.125,10.0,2.0,14.0,14.125
block_target_like,2018-01-09,1,near,7.0,4.125,7.0,0.0,28.0,23.875
block_target_like,2018-01-09,1,outer,-1.0,-0.75,1.0,2.0,5.0,5.75
block_target_like,2018-01-09,2,core,-6.0,0.0,0.0,6.0,14.0,14.0
block_target_like,2018-01-09,2,near,1.0,0.25,3.0,2.0,25.0,24.75
block_target_like,2018-01-09,2,outer,3.0,3.25,4.0,1.0,8.0,4.75
block_target_like,2018-01-09,3,core,-6.0,0.25,5.0,11.0,14.0,13.75
block_target_like,2018-01-09,3,near,-2.0,-0.625,3.0,5.0,25.0,25.625
block_target_like,2018-01-09,3,outer,2.0,3.125,3.0,1.0,8.0,4.875
block_target_like,2018-01-09,4,core,7.0,0.0,13.0,6.0,14.0,14.0
block_target_like,2018-01-09,4,near,0.0,1.25,2.0,2.0,26.0,24.75
block_target_like,2018-01-09,4,outer,-1.0,-0.375,1.0,2.0,5.0,5.375
block_target_like,2018-01-09,5,core,-1.0,-5.625,3.0,4.0,9.0,14.625
block_target_like,2018-01-09,5,near,0.0,3.625,2.0,2.0,28.0,24.375
block_target_like,2018-01-09,5,outer,-1.0,1.125,1.0,2.0,6.0,4.875
block_target_like,2018-01-09,6,core,-9.0,-1.5,2.0,11.0,13.0,14.5
block_target_like,2018-01-09,6,near,-3.0,-0.875,1.0,4.0,25.0,25.875
block_target_like,2018-01-09,6,outer,0.0,1.5,1.0,1.0,5.0,3.5
block_target_like,2018-01-09,7,core,-12.0,-1.0,0.0,12.0,10.0,11.0
block_target_like,2018-01-09,7,near,-6.0,-6.0,2.0,8.0,23.0,29.0
block_target_like,2018-01-09,7,outer,1.0,5.25,3.0,2.0,10.0,4.75
block_target_like,2018-01-09,8,core,-4.0,-3.625,4.0,8.0,8.0,11.625
