date,hour,region,quality_regime,period,day_type,dayofweek,unique_vessel_count,y_true,daily_total,profile_share
2018-01-24,18,core,normal,post_recovery,weekday,2,48,7,199,0.035175879396984924
2018-01-24,19,core,normal,post_recovery,weekday,2,48,15,199,0.07537688442211055
2018-01-24,20,core,normal,post_recovery,weekday,2,48,8,199,0.04020100502512563
2018-01-24,21,core,normal,post_recovery,weekday,2,48,10,199,0.05025125628140704
2018-01-24,22,core,normal,post_recovery,weekday,2,48,6,199,0.03015075376884422
2018-01-24,23,core,normal,post_recovery,weekday,2,48,8,199,0.04020100502512563
2018-01-24,0,near,normal,post_recovery,weekday,2,48,4,124,0.03225806451612903
2018-01-24,1,near,normal,post_recovery,weekday,2,48,4,124,0.03225806451612903
2018-01-24,2,near,normal,post_recovery,weekday,2,48,2,124,0.016129032258064516
2018-01-24,3,near,normal,post_recovery,weekday,2,48,0,124,0.0
2018-01-24,4,near,normal,post_recovery,weekday,2,48,3,124,0.024193548387096774
2018-01-24,5,near,normal,post_recovery,weekday,2,48,4,124,0.03225806451612903
2018-01-24,6,near,normal,post_recovery,weekday,2,48,1,124,0.008064516129032258
2018-01-24,7,near,normal,post_recovery,weekday,2,48,2,124,0.016129032258064516
2018-01-24,8,near,normal,post_recovery,weekday,2,48,5,124,0.04032258064516129
2018-01-24,9,near,normal,post_recovery,weekday,2,48,6,124,0.04838709677419355
2018-01-24,10,near,normal,post_recovery,weekday,2,48,5,124,0.04032258064516129
2018-01-24,11,near,normal,post_recovery,weekday,2,48,6,124,0.04838709677419355
2018-01-24,12,near,normal,post_recovery,weekday,2,48,3,124,0.024193548387096774
2018-01-24,13,near,normal,post_recovery,weekday,2,48,5,124,0.04032258064516129
2018-01-24,14,near,normal,post_recovery,weekday,2,48,5,124,0.04032258064516129
2018-01-24,15,near,normal,post_recovery,weekday,2,48,13,124,0.10483870967741936
2018-01-24,16,near,normal,post_recovery,weekday,2,48,12,124,0.0967741935483871
2018-01-24,17,near,normal,post_recovery,weekday,2,48,1,124,0.008064516129032258
2018-01-24,18,near,normal,post_recovery,weekday,2,48,3,124,0.024193548387096774
2018-01-24,19,near,normal,post_recovery,weekday,2,48,12,124,0.0967741935483871
2018-01-24,20,near,normal,post_recovery,weekday,2,48,9,124,0.07258064516129033
2018-01-24,21,near,normal,post_recovery,weekday,2,48,6,124,0.04838709677419355
2018-01-24,22,near,normal,post_recovery,weekday,2,48,7,124,0.056451612903225805
2018-01-24,23,near,normal,post_recovery,weekday,2,48,6,124,0.04838709677419355
2018-01-24,0,outer,normal,post_recovery,weekday,2,48,0,43,0.0
2018-01-24,1,outer,normal,post_recovery,weekday,2,48,0,43,0.0
2018-01-24,2,outer,normal,post_recovery,weekday,2,48,0,43,0.0
2018-01-24,3,outer,normal,post_recovery,weekday,2,48,0,43,0.0
2018-01-24,4,outer,normal,post_recovery,weekday,2,48,0,43,0.0
2018-01-24,5,outer,normal,post_recovery,weekday,2,48,1,43,0.023255813953488372
2018-01-24,6,outer,normal,post_recovery,weekday,2,48,2,43,0.046511627906976744
2018-01-24,7,outer,normal,post_recovery,weekday,2,48,2,43,0.046511627906976744
2018-01-24,8,outer,normal,post_recovery,weekday,2,48,3,43,0.06976744186046512
2018-01-24,9,outer,normal,post_recovery,weekday,2,48,2,43,0.046511627906976744
2018-01-24,10,outer,normal,post_recovery,weekday,2,48,4,43,0.09302325581395349
2018-01-24,11,outer,normal,post_recovery,weekday,2,48,6,43,0.13953488372093023
2018-01-24,12,outer,normal,post_recovery,weekday,2,48,3,43,0.06976744186046512
2018-01-24,13,outer,normal,post_recovery,weekday,2,48,4,43,0.09302325581395349
2018-01-24,14,outer,normal,post_recovery,weekday,2,48,2,43,0.046511627906976744
2018-01-24,15,outer,normal,post_recovery,weekday,2,48,2,43,0.046511627906976744
2018-01-24,16,outer,normal,post_recovery,weekday,2,48,2,43,0.046511627906976744
2018-01-24,17,outer,normal,post_recovery,weekday,2,48,2,43,0.046511627906976744
2018-01-24,18,outer,normal,post_recovery,weekday,2,48,1,43,0.023255813953488372
2018-01-24,19,outer,normal,post_recovery,weekday,2,48,0,43,0.0
2018-01-24,20,outer,normal,post_recovery,weekday,2,48,2,43,0.046511627906976744
2018-01-24,21,outer,normal,post_recovery,weekday,2,48,2,43,0.046511627906976744
2018-01-24,22,outer,normal,post_recovery,weekday,2,48,1,43,0.023255813953488372
2018-01-24,23,outer,normal,post_recovery,weekday,2,48,2,43,0.046511627906976744
