date,region,quality_regime,period,day_type,dayofweek,unique_vessel_count,daily_total,mean_hourly_count,std_hourly_count,cv_hourly_count,zero_hour_count,peak_hour,peak_value,trough_hour,trough_value,normalized_profile_entropy
2018-01-01,core,normal,pre_outage,weekday,0,49,178,7.416666666666667,4.529292743202099,0.6106911563867998,1,23,15.0,1,0.0,0.9337341279620269
2018-01-01,near,normal,pre_outage,weekday,0,49,108,4.5,3.3362306249131963,0.7413845833140437,2,7,13.0,0,0.0,0.9172668944887095
2018-01-01,outer,normal,pre_outage,weekday,0,49,45,1.875,1.6762406177800526,0.8939949961493614,5,12,6.0,2,0.0,0.8675433796133152
2018-01-02,core,normal,pre_outage,weekday,1,53,191,7.958333333333333,3.950554905069795,0.496404804825524,1,19,16.0,1,0.0,0.9554411237058622
2018-01-02,near,normal,pre_outage,weekday,1,53,117,4.875,3.011752342725584,0.6177953523539659,1,7,12.0,1,0.0,0.9353886656108751
2018-01-02,outer,normal,pre_outage,weekday,1,53,72,3.0,2.1467872861962625,0.7155957620654209,3,9,8.0,3,0.0,0.9124782892801232
2018-01-03,core,normal,pre_outage,weekday,2,58,192,8.0,3.90094748802747,0.48761843600343374,0,6,15.0,0,1.0,0.9623509517327887
2018-01-03,near,normal,pre_outage,weekday,2,58,124,5.166666666666667,3.422008902316917,0.662324303674242,1,19,13.0,4,0.0,0.9296707715377835
2018-01-03,outer,normal,pre_outage,weekday,2,58,48,2.0,1.285369173834303,0.6426845869171515,2,12,5.0,2,0.0,0.9300972200661655
2018-01-04,core,normal,pre_outage,weekday,3,55,160,6.666666666666667,3.6315844747302037,0.5447376712095305,2,6,12.0,1,0.0,0.9388350079963531
2018-01-04,near,normal,pre_outage,weekday,3,55,109,4.541666666666667,2.702320527229155,0.5950063546192634,3,11,9.0,1,0.0,0.9280229023699947
2018-01-04,outer,normal,pre_outage,weekday,3,55,47,1.9583333333333333,1.3014763077790332,0.6645836465254638,2,0,4.0,18,0.0,0.926042521372089
2018-01-05,core,normal,pre_outage,weekday,4,57,184,7.666666666666667,4.0180751033588065,0.5240967526120183,0,10,17.0,4,3.0,0.9585913655651978
2018-01-05,near,normal,pre_outage,weekday,4,57,102,4.25,3.053864266224309,0.7185562979351315,2,11,12.0,1,0.0,0.9165553975620122
2018-01-05,outer,normal,pre_outage,weekday,4,57,38,1.5833333333333333,1.0598058340078627,0.6693510530575975,3,13,4.0,3,0.0,0.9206394271259648
2018-01-06,core,normal,pre_outage,weekend,5,61,148,6.166666666666667,3.818338662943288,0.6191900534502629,1,23,16.0,5,0.0,0.9400425983616532
2018-01-06,near,normal,pre_outage,weekend,5,61,111,4.625,3.4365364262139946,0.743034902965188,3,11,14.0,0,0.0,0.9041977788555831
2018-01-06,outer,normal,pre_outage,weekend,5,61,45,1.875,1.596531566702726,0.8514835022414539,3,12,7.0,2,0.0,0.8953278963530281
2018-01-07,core,normal,pre_outage,weekend,6,60,202,8.416666666666666,3.361116101725045,0.3993405269376291,0,3,13.0,1,1.0,0.9723168324123678
