subset,target,n_days,mean_target,std_target,cv_target,linear_time_slope,pearson_time,spearman_time,pearson_daily_vessels,spearman_daily_vessels,weekday_mean,weekend_mean,weekend_minus_weekday
all,a_total,24,274.7083333333333,91.87064590885461,0.3344297742776446,-2.7508695652173913,-0.21172796865439586,-0.18956521739130433,0.380631626750011,0.32998705606620177,268.6111111111111,293.0,24.388888888888914
all,a_core_total,24,142.04166666666666,50.63550839228266,0.3564834853079448,-1.6404347826086945,-0.22908085564984237,-0.1973913043478261,0.3832904324464969,0.39816981202160245,140.33333333333334,147.16666666666666,6.833333333333314
all,a_near_total,24,90.45833333333333,31.5153229352032,0.3483960158659037,-0.8195652173913062,-0.18388519261996314,-0.12222706680411502,0.3733344389957567,0.3511190592529789,88.11111111111111,97.5,9.388888888888886
all,a_outer_total,24,42.208333333333336,13.409857395301369,0.31770639436054576,-0.290869565217392,-0.15337660643435783,-0.19895532858902298,0.28300167364798806,0.33238769862513196,40.166666666666664,48.333333333333336,8.166666666666671
normal_all,a_total,17,324.29411764705884,49.80306806046485,0.15357376329183792,0.04682645361739253,0.0076537858639586735,-0.10049019607843139,0.07025219973699796,0.0691807355085706,310.6923076923077,368.5,57.80769230769232
normal_all,a_core_total,17,169.0,27.577164466275352,0.16317848796612636,-0.12261429205503976,-0.036193670064318686,-0.10539215686274511,0.0986186832598027,0.22854350123367073,162.3846153846154,190.5,28.115384615384613
normal_all,a_near_total,17,107.82352941176471,16.64795518268553,0.15440002078868192,0.14658233466488865,0.0716740382037276,0.025766890561858,0.06993551541483987,0.10142473398075207,103.15384615384616,123.0,19.84615384615384
normal_all,a_outer_total,17,47.470588235294116,11.495203603344873,0.24215422708409273,0.02285841100754504,0.01618715430780996,-0.07995134383348083,-0.03350370314417188,0.04463774210155885,45.15384615384615,55.0,9.846153846153847
normal_pre_outage,a_total,11,318.8181818181818,38.81190070537175,0.12173678578816345,-9.054545454545467,-0.77374540731495,-0.8454545454545455,0.15144438752776568,0.11927107455535572,315.55555555555554,333.5,17.944444444444457
normal_pre_outage,a_core_total,11,166.9090909090909,24.20931451096683,0.14504491264740477,-5.054545454545455,-0.692462017085595,-0.6727272727272727,0.1677375963887894,0.3027650354097492,165.11111111111111,175.0,9.888888888888886
normal_pre_outage,a_near_total,11,105.54545454545455,11.894230839895755,0.11269297092063162,-2.745454545454549,-0.7655511927434786,-0.7090909090909092,0.2847717944933344,0.31193973345246884,104.11111111111111,112.0,7.888888888888886
normal_pre_outage,a_outer_total,11,46.36363636363637,11.128995707364858,0.2400371623157126,-1.254545454545457,-0.3738752951822598,-0.2626979166496464,-0.14108273530309254,-0.08372183582789212,46.333333333333336,46.5,0.1666666666666643
normal_post_recovery,a_total,6,334.3333333333333,68.82925734501765,0.20587016155040178,6.40000000000006,0.17395660071789698,0.14285714285714288,0.2492400369164859,0.44136741475237473,299.75,403.5,103.75
normal_post_recovery,a_core_total,6,172.83333333333334,35.130708314331876,0.20326350037221913,3.971428571428596,0.2114919647701587,0.14285714285714288,0.22678865726980552,0.44136741475237473,156.25,206.0,49.75
normal_post_recovery,a_near_total,6,112.0,23.90815760362977,0.21346569288955153,3.9428571428571573,0.30853110469972045,0.14285714285714288,0.15882259449804065,0.44136741475237473,101.0,134.0,33.0
normal_post_recovery,a_outer_total,6,49.5,12.942179105544785,0.2614581637483795,-1.5142857142856996,-0.21889429447456626,-0.14285714285714288,0.4165144686860313,0.5002164033860248,42.5,63.5,21.0
