region,date_i,date_j,period_i,period_j,period_pair,day_type_i,day_type_j,same_day_type,pearson_profile,cosine_similarity,l1_distance,rmse_profile
core,2018-01-03,2018-01-04,pre_outage,pre_outage,pre_outage__pre_outage,weekday,weekday,True,0.49411926308720866,0.8964639981154716,0.43125,0.021273560604351992
core,2018-01-03,2018-01-05,pre_outage,pre_outage,pre_outage__pre_outage,weekday,weekday,True,0.48542490964971907,0.898398266200594,0.41349637681159424,0.020971432221256386
core,2018-01-03,2018-01-06,pre_outage,pre_outage,pre_outage__pre_outage,weekday,weekend,False,0.6713599824774623,0.9216611312352637,0.3620495495495496,0.01894677052834666
core,2018-01-03,2018-01-07,pre_outage,pre_outage,pre_outage__pre_outage,weekday,weekend,False,0.27523054987606665,0.8836789279131892,0.411509900990099,0.02196785708864411
core,2018-01-03,2018-01-08,pre_outage,pre_outage,pre_outage__pre_outage,weekday,weekday,True,0.4280182339697309,0.871079948753479,0.43826219512195125,0.02409555555661187
core,2018-01-03,2018-01-09,pre_outage,pre_outage,pre_outage__pre_outage,weekday,weekday,True,-0.1411645189691571,0.6952386099341371,0.7744006849315068,0.03841377361858519
core,2018-01-03,2018-01-10,pre_outage,pre_outage,pre_outage__pre_outage,weekday,weekday,True,0.30322494257091553,0.8183706907912023,0.5698994252873563,0.029424365310546107
core,2018-01-03,2018-01-11,pre_outage,pre_outage,pre_outage__pre_outage,weekday,weekday,True,0.5354303192549993,0.8710288465603315,0.4831349206349207,0.02508017723317254
core,2018-01-03,2018-01-19,pre_outage,post_recovery,post_recovery__pre_outage,weekday,weekday,True,0.2797455195502931,0.7801921477171916,0.6802884615384616,0.03367583448089453
core,2018-01-03,2018-01-20,pre_outage,post_recovery,post_recovery__pre_outage,weekday,weekend,False,0.6325756075394042,0.9171800224852299,0.3976293103448276,0.019304098929837678
core,2018-01-03,2018-01-21,pre_outage,post_recovery,post_recovery__pre_outage,weekday,weekend,False,0.015859069308274295,0.8184008618429556,0.5210326953748007,0.02780714794401213
core,2018-01-03,2018-01-22,pre_outage,post_recovery,post_recovery__pre_outage,weekday,weekday,True,0.4194687498470848,0.8493316777494713,0.5416666666666666,0.02675289986885211
core,2018-01-03,2018-01-23,pre_outage,post_recovery,post_recovery__pre_outage,weekday,weekday,True,0.27709435799542387,0.8436054865267731,0.45767405063291144,0.026365916456149205
core,2018-01-03,2018-01-24,pre_outage,post_recovery,post_recovery__pre_outage,weekday,weekday,True,-0.12081557452249357,0.791332656839134,0.5859505862646566,0.029837723221312066
core,2018-01-04,2018-01-05,pre_outage,pre_outage,pre_outage__pre_outage,weekday,weekday,True,0.29597359832218495,0.8486515145818655,0.5266304347826086,0.02587533522456505
core,2018-01-04,2018-01-06,pre_outage,pre_outage,pre_outage__pre_outage,weekday,weekend,False,0.4149261632759232,0.8557807442335977,0.5097972972972973,0.025804864430469244
core,2018-01-04,2018-01-07,pre_outage,pre_outage,pre_outage__pre_outage,weekday,weekend,False,0.261212481460161,0.866562767112715,0.47141089108910894,0.02387366426649724
core,2018-01-04,2018-01-08,pre_outage,pre_outage,pre_outage__pre_outage,weekday,weekday,True,0.499534067115489,0.8795119979135158,0.44573170731707323,0.02348769123445479
core,2018-01-04,2018-01-09,pre_outage,pre_outage,pre_outage__pre_outage,weekday,weekday,True,0.09222246683267762,0.7401008727729388,0.6962328767123287,0.03578559732963118
core,2018-01-04,2018-01-10,pre_outage,pre_outage,pre_outage__pre_outage,weekday,weekday,True,0.08308114111661358,0.7500837923008408,0.690948275862069,0.03468092528647013
core,2018-01-04,2018-01-11,pre_outage,pre_outage,pre_outage__pre_outage,weekday,weekday,True,0.15570208148518655,0.7641225302466436,0.6660714285714286,0.03388305924001327
