training_policy,method,model_family,estimator,uses_vessel_count,profile_method,rolling_mean_sse,rolling_median_sse,rolling_max_sse,rolling_normal_mse,rolling_normal_rank,final_analog_sse,final_analog_rank,final_analog_mean_bias,final_analog_core_sse,final_analog_near_sse,final_analog_outer_sse,rolling_fold_win_count,median_selected_alpha
exclude_outage_severe,decomp_ridge_calendar_vessel_mean,decomposition,ridge,True,mean,4916.125,4614.0,8461.0,16.54419191919192,36,8189.0,35,-2.7106481481481484,4985.0,2731.0,473.0,2,0.1
exclude_outage_severe,hour_mean,baseline,weighted_mean,False,,5479.625,5620.0,6188.0,8.86489898989899,7,3928.0,6,-0.25462962962962965,2315.0,1236.0,377.0,0,
exclude_outage_severe,poisson_direct_calendar,direct,poisson,False,,4713.75,4332.0,6478.0,13.964015151515152,24,6198.0,17,-2.009259259259259,3778.0,1986.0,434.0,0,0.01
exclude_outage_severe,poisson_direct_calendar_vessel,direct,poisson,True,,4507.75,4335.0,6875.0,13.85479797979798,23,6620.0,21,-2.2037037037037037,4005.0,2155.0,460.0,0,0.00055
exclude_outage_severe,ridge_direct_calendar,direct,ridge,False,,4992.25,4574.5,7985.0,15.339015151515152,30,7704.0,30,-2.3518518518518516,5037.0,2196.0,471.0,0,5.5
exclude_outage_severe,ridge_direct_calendar_vessel,direct,ridge,True,,4888.0,4543.0,8032.0,15.83459595959596,32,7763.0,31,-2.6643518518518516,4538.0,2598.0,627.0,0,1.0
quality_weighted,decomp_ewm7_daytype_shrunk,baseline,ewm,False,daytype_shrunk,5172.375,5220.0,5954.0,8.724747474747474,2,3946.0,7,-0.5787037037037037,2305.0,1282.0,359.0,1,
quality_weighted,decomp_mean_daytype_shrunk,baseline,weighted_mean,False,daytype_shrunk,5566.875,5692.0,6381.0,8.73611111111111,3,3902.0,3,-0.32407407407407407,2305.0,1232.0,365.0,0,
quality_weighted,decomp_mean_mean,baseline,weighted_mean,False,mean,5491.375,5631.0,6281.0,8.815025252525253,5,3910.0,4,-0.3101851851851852,2293.0,1234.0,383.0,0,
quality_weighted,decomp_poisson_calendar_daytype,decomposition,poisson,False,daytype_shrunk,4471.25,4305.5,6269.0,12.37689393939394,13,6178.0,16,-2.0324074074074074,3837.0,1896.0,445.0,1,1.0
quality_weighted,decomp_poisson_calendar_mean,decomposition,poisson,False,mean,4483.625,4333.5,6333.0,12.464015151515152,14,6142.0,15,-2.013888888888889,3805.0,1892.0,445.0,0,1.0
quality_weighted,decomp_poisson_calendar_vessel_daytype,decomposition,poisson,True,daytype_shrunk,4482.75,4250.0,7050.0,13.660353535353535,18,6787.0,22,-2.2893518518518516,4164.0,2158.0,465.0,0,0.0001
quality_weighted,decomp_poisson_calendar_vessel_mean,decomposition,poisson,True,mean,4532.375,4320.5,7102.0,13.806818181818182,21,6850.0,24,-2.2824074074074074,4209.0,2174.0,467.0,0,0.0001
quality_weighted,decomp_ridge_calendar_daytype,decomposition,ridge,False,daytype_shrunk,4686.5,4402.5,7217.0,13.830176767676768,22,7128.0,28,-2.4768518518518516,4409.0,2212.0,507.0,0,0.55
quality_weighted,decomp_ridge_calendar_mean,decomposition,ridge,False,mean,4717.5,4483.0,7256.0,13.983585858585858,25,7211.0,29,-2.4837962962962963,4463.0,2228.0,520.0,0,0.55
quality_weighted,decomp_ridge_calendar_vessel_daytype,decomposition,ridge,True,daytype_shrunk,4884.5,4521.5,8722.0,16.299873737373737,33,8249.0,36,-2.747685185185185,5094.0,2661.0,494.0,0,0.1
quality_weighted,decomp_ridge_calendar_vessel_mean,decomposition,ridge,True,mean,4899.375,4562.5,8678.0,16.408459595959595,34,8181.0,33,-2.7291666666666665,5058.0,2634.0,489.0,3,0.1
quality_weighted,hour_mean,baseline,weighted_mean,False,,5464.375,5634.0,6188.0,8.782196969696969,4,3880.0,2,-0.26851851851851855,2297.0,1212.0,371.0,0,
quality_weighted,poisson_direct_calendar,direct,poisson,False,,4845.75,4745.0,6589.0,14.289141414141413,28,6485.0,18,-2.0810185185185186,4082.0,1970.0,433.0,0,0.01
quality_weighted,poisson_direct_calendar_vessel,direct,poisson,True,,4501.75,4272.5,7151.0,13.71338383838384,20,6937.0,26,-2.3078703703703702,4306.0,2171.0,460.0,0,0.00055
quality_weighted,ridge_direct_calendar,direct,ridge,False,,4998.5,4542.0,8241.0,15.258207070707071,29,7028.0,27,-2.4305555555555554,4387.0,2144.0,497.0,0,5.5
quality_weighted,ridge_direct_calendar_vessel,direct,ridge,True,,4864.75,4397.0,8388.0,15.594065656565656,31,8187.0,34,-2.673611111111111,5205.0,2486.0,496.0,0,1.0
