evaluation_id,evaluation_type,training_policy,method,selected_alpha,train_start,train_end,valid_start,valid_end,n_valid_days,n_rows,sse_float,sse_rounded,mse_rounded,mae_rounded,mean_bias_rounded,actual_total,predicted_total_rounded,core_sse_rounded,near_sse_rounded,outer_sse_rounded
final_analog,final_analog,exclude_outage_severe,decomp_poisson_calendar_mean,1.0,2018-01-01,2018-01-18,2018-01-19,2018-01-24,6,432,5937.53993797694,5916.0,13.694444444444445,2.6666666666666665,-1.9305555555555556,2006.0,1172.0,3599.0,1876.0,441.0
final_analog,final_analog,exclude_outage_severe,decomp_poisson_calendar_vessel_daytype,0.01,2018-01-01,2018-01-18,2018-01-19,2018-01-24,6,432,6515.500530940926,6500.0,15.046296296296296,2.8055555555555554,-2.175925925925926,2006.0,1066.0,3921.0,2139.0,440.0
final_analog,final_analog,exclude_outage_severe,decomp_poisson_calendar_vessel_mean,0.01,2018-01-01,2018-01-18,2018-01-19,2018-01-24,6,432,6548.538919421178,6555.0,15.17361111111111,2.7847222222222223,-2.1689814814814814,2006.0,1069.0,3998.0,2126.0,431.0
final_analog,final_analog,exclude_outage_severe,decomp_ridge_calendar_daytype,0.1,2018-01-01,2018-01-18,2018-01-19,2018-01-24,6,432,6872.278873374584,6848.0,15.851851851851851,2.8981481481481484,-2.3981481481481484,2006.0,970.0,4089.0,2250.0,509.0
final_analog,final_analog,exclude_outage_severe,decomp_ridge_calendar_mean,0.1,2018-01-01,2018-01-18,2018-01-19,2018-01-24,6,432,6904.873735344016,6909.0,15.993055555555555,2.9189814814814814,-2.4097222222222223,2006.0,965.0,4147.0,2240.0,522.0
final_analog,final_analog,exclude_outage_severe,decomp_ridge_calendar_vessel_daytype,0.1,2018-01-01,2018-01-18,2018-01-19,2018-01-24,6,432,8108.799149743819,8173.0,18.91898148148148,3.1412037037037037,-2.7060185185185186,2006.0,837.0,4988.0,2706.0,479.0
final_analog,final_analog,exclude_outage_severe,decomp_ridge_calendar_vessel_mean,0.1,2018-01-01,2018-01-18,2018-01-19,2018-01-24,6,432,8134.034698113611,8189.0,18.95601851851852,3.136574074074074,-2.7106481481481484,2006.0,835.0,4985.0,2731.0,473.0
final_analog,final_analog,exclude_outage_severe,hour_mean,,2018-01-01,2018-01-18,2018-01-19,2018-01-24,6,432,3947.083333333333,3928.0,9.092592592592593,2.259259259259259,-0.25462962962962965,2006.0,1896.0,2315.0,1236.0,377.0
final_analog,final_analog,exclude_outage_severe,poisson_direct_calendar,0.01,2018-01-01,2018-01-18,2018-01-19,2018-01-24,6,432,6192.972351633902,6198.0,14.347222222222221,2.7268518518518516,-2.009259259259259,2006.0,1138.0,3778.0,1986.0,434.0
final_analog,final_analog,exclude_outage_severe,poisson_direct_calendar_vessel,0.001,2018-01-01,2018-01-18,2018-01-19,2018-01-24,6,432,6560.922158828336,6620.0,15.324074074074074,2.8194444444444446,-2.2037037037037037,2006.0,1054.0,4005.0,2155.0,460.0
final_analog,final_analog,exclude_outage_severe,ridge_direct_calendar,10.0,2018-01-01,2018-01-18,2018-01-19,2018-01-24,6,432,7629.706188245458,7704.0,17.833333333333332,3.0277777777777777,-2.3518518518518516,2006.0,990.0,5037.0,2196.0,471.0
final_analog,final_analog,exclude_outage_severe,ridge_direct_calendar_vessel,10.0,2018-01-01,2018-01-18,2018-01-19,2018-01-24,6,432,7645.595069359311,7763.0,17.96990740740741,3.113425925925926,-2.6643518518518516,2006.0,855.0,4538.0,2598.0,627.0
final_analog,final_analog,quality_weighted,decomp_ewm7_daytype_shrunk,,2018-01-01,2018-01-18,2018-01-19,2018-01-24,6,432,3915.617696885771,3946.0,9.13425925925926,2.240740740740741,-0.5787037037037037,2006.0,1756.0,2305.0,1282.0,359.0
final_analog,final_analog,quality_weighted,decomp_mean_daytype_shrunk,,2018-01-01,2018-01-18,2018-01-19,2018-01-24,6,432,3848.497899434291,3902.0,9.032407407407407,2.2314814814814814,-0.32407407407407407,2006.0,1866.0,2305.0,1232.0,365.0
final_analog,final_analog,quality_weighted,decomp_mean_mean,,2018-01-01,2018-01-18,2018-01-19,2018-01-24,6,432,3903.4329850866907,3910.0,9.050925925925926,2.2546296296296298,-0.3101851851851852,2006.0,1872.0,2293.0,1234.0,383.0
final_analog,final_analog,quality_weighted,decomp_poisson_calendar_daytype,1.0,2018-01-01,2018-01-18,2018-01-19,2018-01-24,6,432,6083.8233517908375,6178.0,14.300925925925926,2.7268518518518516,-2.0324074074074074,2006.0,1128.0,3837.0,1896.0,445.0
final_analog,final_analog,quality_weighted,decomp_poisson_calendar_mean,1.0,2018-01-01,2018-01-18,2018-01-19,2018-01-24,6,432,6124.063992324762,6142.0,14.217592592592593,2.7083333333333335,-2.013888888888889,2006.0,1136.0,3805.0,1892.0,445.0
final_analog,final_analog,quality_weighted,decomp_poisson_calendar_vessel_daytype,0.0001,2018-01-01,2018-01-18,2018-01-19,2018-01-24,6,432,6750.404056157526,6787.0,15.710648148148149,2.8680555555555554,-2.2893518518518516,2006.0,1017.0,4164.0,2158.0,465.0
final_analog,final_analog,quality_weighted,decomp_poisson_calendar_vessel_mean,0.0001,2018-01-01,2018-01-18,2018-01-19,2018-01-24,6,432,6786.1912564636705,6850.0,15.856481481481481,2.8703703703703702,-2.2824074074074074,2006.0,1020.0,4209.0,2174.0,467.0
final_analog,final_analog,quality_weighted,decomp_ridge_calendar_daytype,0.1,2018-01-01,2018-01-18,2018-01-19,2018-01-24,6,432,7109.535779185173,7128.0,16.5,2.949074074074074,-2.4768518518518516,2006.0,936.0,4409.0,2212.0,507.0
final_analog,final_analog,quality_weighted,decomp_ridge_calendar_mean,0.1,2018-01-01,2018-01-18,2018-01-19,2018-01-24,6,432,7144.753787346185,7211.0,16.69212962962963,2.9560185185185186,-2.4837962962962963,2006.0,933.0,4463.0,2228.0,520.0
final_analog,final_analog,quality_weighted,decomp_ridge_calendar_vessel_daytype,0.1,2018-01-01,2018-01-18,2018-01-19,2018-01-24,6,432,8131.600834724204,8249.0,19.09490740740741,3.1550925925925926,-2.747685185185185,2006.0,819.0,5094.0,2661.0,494.0
final_analog,final_analog,quality_weighted,decomp_ridge_calendar_vessel_mean,0.1,2018-01-01,2018-01-18,2018-01-19,2018-01-24,6,432,8160.000392181446,8181.0,18.9375,3.127314814814815,-2.7291666666666665,2006.0,827.0,5058.0,2634.0,489.0
final_analog,final_analog,quality_weighted,hour_mean,,2018-01-01,2018-01-18,2018-01-19,2018-01-24,6,432,3920.472496164804,3880.0,8.981481481481481,2.25,-0.26851851851851855,2006.0,1890.0,2297.0,1212.0,371.0
final_analog,final_analog,quality_weighted,poisson_direct_calendar,0.01,2018-01-01,2018-01-18,2018-01-19,2018-01-24,6,432,6403.288797520989,6485.0,15.011574074074074,2.7708333333333335,-2.0810185185185186,2006.0,1107.0,4082.0,1970.0,433.0
final_analog,final_analog,quality_weighted,poisson_direct_calendar_vessel,0.01,2018-01-01,2018-01-18,2018-01-19,2018-01-24,6,432,6919.590496917616,6937.0,16.05787037037037,2.877314814814815,-2.3078703703703702,2006.0,1009.0,4306.0,2171.0,460.0
final_analog,final_analog,quality_weighted,ridge_direct_calendar,1.0,2018-01-01,2018-01-18,2018-01-19,2018-01-24,6,432,7031.426611645991,7028.0,16.26851851851852,2.949074074074074,-2.4305555555555554,2006.0,956.0,4387.0,2144.0,497.0
final_analog,final_analog,quality_weighted,ridge_direct_calendar_vessel,10.0,2018-01-01,2018-01-18,2018-01-19,2018-01-24,6,432,8123.453396561388,8187.0,18.95138888888889,3.136574074074074,-2.673611111111111,2006.0,851.0,5205.0,2486.0,496.0
fold_01,rolling_7d,all,decomp_ewm7_daytype_shrunk,,2018-01-01,2018-01-10,2018-01-11,2018-01-17,7,504,6039.176847987559,5954.0,11.813492063492063,2.626984126984127,2.0436507936507935,1173.0,2203.0,4002.0,1638.0,314.0
fold_01,rolling_7d,all,decomp_mean_daytype_shrunk,,2018-01-01,2018-01-10,2018-01-11,2018-01-17,7,504,6313.18081222535,6328.0,12.555555555555555,2.7103174603174605,2.1507936507936507,1173.0,2257.0,4259.0,1732.0,337.0
fold_01,rolling_7d,all,decomp_mean_mean,,2018-01-01,2018-01-10,2018-01-11,2018-01-17,7,504,6286.400756831987,6281.0,12.462301587301587,2.7003968253968256,2.1448412698412698,1173.0,2254.0,4233.0,1700.0,348.0
fold_01,rolling_7d,all,decomp_poisson_calendar_daytype,1.0,2018-01-01,2018-01-10,2018-01-11,2018-01-17,7,504,4007.912978972381,4068.0,8.071428571428571,2.1706349206349205,1.2896825396825398,1173.0,1823.0,2550.0,1253.0,265.0
fold_01,rolling_7d,all,decomp_poisson_calendar_mean,1.0,2018-01-01,2018-01-10,2018-01-11,2018-01-17,7,504,3994.8678061839473,4061.0,8.057539682539682,2.1726190476190474,1.3035714285714286,1173.0,1830.0,2549.0,1238.0,274.0
