evaluation_id,evaluation_type,training_policy,method,alpha,n_inner_splits,inner_validation_dates,inner_sse_float,inner_mae_float,fit_failure_count,selected
fold_01,rolling_7d,exclude_outage_severe,ridge_direct_calendar,0.1,4,"2018-01-07,2018-01-08,2018-01-09,2018-01-10",2636.6380928682074,2.17937864112683,0,False
fold_01,rolling_7d,exclude_outage_severe,ridge_direct_calendar,1.0,4,"2018-01-07,2018-01-08,2018-01-09,2018-01-10",2537.31312973811,2.191839395869108,0,True
fold_01,rolling_7d,exclude_outage_severe,ridge_direct_calendar,10.0,4,"2018-01-07,2018-01-08,2018-01-09,2018-01-10",3185.356957848901,2.7016853662389217,0,False
fold_01,rolling_7d,exclude_outage_severe,ridge_direct_calendar,100.0,4,"2018-01-07,2018-01-08,2018-01-09,2018-01-10",3771.823997741294,3.0358594998791797,0,False
fold_01,rolling_7d,exclude_outage_severe,ridge_direct_calendar,1000.0,4,"2018-01-07,2018-01-08,2018-01-09,2018-01-10",3878.8920250063,3.125566885170492,0,False
fold_01,rolling_7d,exclude_outage_severe,ridge_direct_calendar_vessel,0.1,4,"2018-01-07,2018-01-08,2018-01-09,2018-01-10",2704.2049932244813,2.2069752178509257,0,False
fold_01,rolling_7d,exclude_outage_severe,ridge_direct_calendar_vessel,1.0,4,"2018-01-07,2018-01-08,2018-01-09,2018-01-10",2586.4812978969094,2.197021653046621,0,True
fold_01,rolling_7d,exclude_outage_severe,ridge_direct_calendar_vessel,10.0,4,"2018-01-07,2018-01-08,2018-01-09,2018-01-10",2965.0447163506224,2.5694246722875573,0,False
fold_01,rolling_7d,exclude_outage_severe,ridge_direct_calendar_vessel,100.0,4,"2018-01-07,2018-01-08,2018-01-09,2018-01-10",3681.360017647808,2.996983054060585,0,False
fold_01,rolling_7d,exclude_outage_severe,ridge_direct_calendar_vessel,1000.0,4,"2018-01-07,2018-01-08,2018-01-09,2018-01-10",3882.8834960360764,3.1272946643480273,0,False
fold_01,rolling_7d,exclude_outage_severe,poisson_direct_calendar,0.0001,4,"2018-01-07,2018-01-08,2018-01-09,2018-01-10",2572.258630619409,2.1660786168077895,0,False
fold_01,rolling_7d,exclude_outage_severe,poisson_direct_calendar,0.001,4,"2018-01-07,2018-01-08,2018-01-09,2018-01-10",2551.4282795075424,2.164153116209597,0,False
fold_01,rolling_7d,exclude_outage_severe,poisson_direct_calendar,0.01,4,"2018-01-07,2018-01-08,2018-01-09,2018-01-10",2510.318909595703,2.2158256196107353,0,True
fold_01,rolling_7d,exclude_outage_severe,poisson_direct_calendar,0.1,4,"2018-01-07,2018-01-08,2018-01-09,2018-01-10",3219.332743781043,2.730496642694448,0,False
fold_01,rolling_7d,exclude_outage_severe,poisson_direct_calendar,1.0,4,"2018-01-07,2018-01-08,2018-01-09,2018-01-10",3768.759080340098,3.0375647603051212,0,False
fold_01,rolling_7d,exclude_outage_severe,poisson_direct_calendar_vessel,0.0001,4,"2018-01-07,2018-01-08,2018-01-09,2018-01-10",2573.267552882341,2.166390690126833,0,False
fold_01,rolling_7d,exclude_outage_severe,poisson_direct_calendar_vessel,0.001,4,"2018-01-07,2018-01-08,2018-01-09,2018-01-10",2554.8946144490114,2.163206941123781,0,False
