fold_id,training_policy,method,train_day_count_used,excluded_train_day_count,effective_train_day_weight,sse_float,sse_rounded,mae_rounded,mean_bias_rounded,actual_total,predicted_total_rounded
fold_02,quality_weighted,dow_hour_mean,11,0,11.0,7988.0,8049.0,2.9186507936507935,2.3353174603174605,1080.0,2257.0
fold_02,quality_weighted,global_mean,11,0,11.0,6317.4762396694205,6100.0,2.8134920634920637,2.1904761904761907,1080.0,2184.0
fold_02,quality_weighted,hour_mean,11,0,11.0,6156.024793388429,6158.0,2.7063492063492065,2.2738095238095237,1080.0,2226.0
fold_02,quality_weighted,hour_scale_p025,11,0,11.0,5844.446888129387,5832.0,2.630952380952381,2.1666666666666665,1080.0,2172.0
fold_02,quality_weighted,hour_scale_p05,11,0,11.0,5564.24186778667,5598.0,2.5753968253968256,2.0992063492063493,1080.0,2138.0
fold_02,quality_weighted,mixed_075_hour_dow,11,0,11.0,6279.326446280991,6322.0,2.734126984126984,2.2817460317460316,1080.0,2230.0
fold_02,quality_weighted,recent_14d_hour,11,0,11.0,6156.024793388429,6158.0,2.7063492063492065,2.2738095238095237,1080.0,2226.0
fold_02,quality_weighted,recent_7d_hour,11,0,11.0,5663.142857142857,5749.0,2.5972222222222223,2.0654761904761907,1080.0,2121.0
fold_03,all,dow_hour_mean,12,0,12.0,7864.25,7949.0,2.878968253968254,2.2003968253968256,1096.0,2205.0
fold_03,all,global_mean,12,0,12.0,6152.556134259259,6216.0,2.8531746031746033,2.1587301587301586,1096.0,2184.0
fold_03,all,hour_mean,12,0,12.0,5767.319444444444,5990.0,2.6666666666666665,2.2142857142857144,1096.0,2212.0
fold_03,all,hour_scale_p025,12,0,12.0,5450.6645972350225,5521.0,2.5416666666666665,2.0575396825396823,1096.0,2133.0
fold_03,all,hour_scale_p05,12,0,12.0,5165.595446347302,5180.0,2.4603174603174605,1.9365079365079365,1096.0,2072.0
fold_03,all,mixed_075_hour_dow,12,0,12.0,5978.4453125,6110.0,2.634920634920635,2.1746031746031744,1096.0,2192.0
fold_03,all,recent_14d_hour,12,0,12.0,5767.319444444444,5990.0,2.6666666666666665,2.2142857142857144,1096.0,2212.0
fold_03,all,recent_7d_hour,12,0,12.0,5161.571428571428,5261.0,2.4226190476190474,1.8115079365079365,1096.0,2009.0
fold_03,exclude_outage_severe,dow_hour_mean,12,0,12.0,7864.25,7949.0,2.878968253968254,2.2003968253968256,1096.0,2205.0
fold_03,exclude_outage_severe,global_mean,12,0,12.0,6152.556134259259,6216.0,2.8531746031746033,2.1587301587301586,1096.0,2184.0
fold_03,exclude_outage_severe,hour_mean,12,0,12.0,5767.319444444444,5990.0,2.6666666666666665,2.2142857142857144,1096.0,2212.0
fold_03,exclude_outage_severe,hour_scale_p025,12,0,12.0,5450.6645972350225,5521.0,2.5416666666666665,2.0575396825396823,1096.0,2133.0
fold_03,exclude_outage_severe,hour_scale_p05,12,0,12.0,5165.595446347302,5180.0,2.4603174603174605,1.9365079365079365,1096.0,2072.0
fold_03,exclude_outage_severe,mixed_075_hour_dow,12,0,12.0,5978.4453125,6110.0,2.634920634920635,2.1746031746031744,1096.0,2192.0
fold_03,exclude_outage_severe,recent_14d_hour,12,0,12.0,5767.319444444444,5990.0,2.6666666666666665,2.2142857142857144,1096.0,2212.0
fold_03,exclude_outage_severe,recent_7d_hour,12,0,12.0,5161.571428571428,5261.0,2.4226190476190474,1.8115079365079365,1096.0,2009.0
fold_03,quality_weighted,dow_hour_mean,12,0,11.5,7835.888888888889,7921.0,2.875,2.248015873015873,1096.0,2229.0
fold_03,quality_weighted,global_mean,12,0,11.5,6281.048282923755,6216.0,2.8531746031746033,2.1587301587301586,1096.0,2184.0
fold_03,quality_weighted,hour_mean,12,0,11.5,5899.196597353497,5961.0,2.6607142857142856,2.2281746031746033,1096.0,2219.0
fold_03,quality_weighted,hour_scale_p025,12,0,11.5,5575.247123799306,5676.0,2.5793650793650795,2.107142857142857,1096.0,2158.0
fold_03,quality_weighted,hour_scale_p05,12,0,11.5,5283.260897429911,5287.0,2.490079365079365,1.9861111111111112,1096.0,2097.0
fold_03,quality_weighted,mixed_075_hour_dow,12,0,11.5,6072.092772001681,6126.0,2.6547619047619047,2.2063492063492065,1096.0,2208.0
fold_03,quality_weighted,recent_14d_hour,12,0,11.5,5899.196597353497,5961.0,2.6607142857142856,2.2281746031746033,1096.0,2219.0
fold_03,quality_weighted,recent_7d_hour,12,0,11.5,5308.088757396449,5292.0,2.4484126984126986,1.8531746031746033,1096.0,2030.0
fold_04,all,dow_hour_mean,13,0,13.0,7974.5,8079.0,2.9265873015873014,1.621031746031746,1323.0,2140.0
