direction,n,zero_rate,positive_rate,mean_positive,median_positive,p90_positive,variance,baseline_sse,false_positive_sse,false_negative_sse,positive_magnitude_sse,fp_count,fn_count,fp_share,fn_share,mag_share,top20_error_share
core->near,1486,0.5195154777927322,0.4804845222072678,2.320728291316527,2.0,4.0,2.157013689002244,3037.0,809.0,51.0,2177.0,701,11,0.2663812973328943,0.016792887718142906,0.7168258149489628,0.1498189002304906
near->core,1486,0.44010767160161507,0.559892328398385,1.9278846153846154,2.0,4.0,1.6531829602082426,2407.0,818.0,43.0,1546.0,590,19,0.3398421271292065,0.017864561695056087,0.6422933111757374,0.18986289987536353
near->outer,1486,0.7806191117092867,0.21938088829071334,1.521472392638037,1.0,3.0,0.5749960601323433,925.0,113.0,694.0,118.0,113,234,0.12216216216216216,0.7502702702702703,0.12756756756756757,0.3124324324324324
outer->near,1486,0.7395693135935397,0.2604306864064603,1.449612403100775,1.0,3.0,0.5607061148557464,926.0,216.0,536.0,174.0,216,232,0.23326133909287258,0.5788336933045356,0.1879049676025918,0.23974082073434125
core->outer,1486,0.8391655450874832,0.1608344549125168,1.2677824267782427,1.0,2.0,0.2794194899365818,434.0,23.0,363.0,48.0,23,221,0.052995391705069124,0.836405529953917,0.11059907834101383,0.31105990783410137
outer->core,1486,0.8519515477792732,0.14804845222072682,1.3181818181818181,1.0,2.0,0.2512820419926492,430.0,0.0,430.0,0.0,0,220,0.0,1.0,0.0,0.18604651162790697
